Date	Share Link	Caption / Artist Info
Oct 16, 2021, 10:31:28 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOmIusKibvQam_6dsFcyanAiP7EqcWL_UOTgz6R?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Live show VIP experience in the time of COVID. Such sweet sisters, making great sounds together. 10/16/2021 at The Recher. I am a big Larkin Poe fanboy...
Apr 4, 2022, 8:15:29 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMN2e9yG2i2Iu5raT9DDzQCzz3TLn1E-_G4sdm2?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	oh nothing. just me and then-22-year-old, now Grammy-winning Best Contemporary Blues Album artist Kingfish Ingram. The dude can flat out guitar... | November 18, 2021 at Sixth & I Synagogue
Mar 9, 2023, 11:53:49 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNTILxPZR8qR-ZDXqCPQLiraXzcwcFzDfomXOLe?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Live music binge  - this time I got a photo with the band Larkin Poe at 9:30 Club 03/09/2023
Jul 29, 2023, 2:44:46 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMjDkGL5VWY7Z-yi2UNwwOdBBdh2kQHU7u-Kh0z?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ally Venable at Rams Head On Stage 6/28/23
Jul 29, 2023, 2:44:46 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPvRHbZ9fV3XpOafkLCpwwSHio-Tt48p3-ndS00?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ana Popović at Hamilton Live 7/28/23
Jul 29, 2023, 2:44:49 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOA9IzWgkg0kACtD3BvO44XBGISSd07V_AzKHMp?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Eric Gales at Hamilton Live 5/17/23
Aug 5, 2023, 9:33:49 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPgvN1EJILTZ666aRjDL-wdR2RF19sJKqZ_900i?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Bob Alcorn of Malibu Wanderers (now Wildflower Dreams)  | at Celtic House 8/4/23
Aug 19, 2023, 1:28:37 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMeYCKGb-Fn5H3ocF44ELflVWGorLgAan61LHOD?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	King Solomon Hicks - opening for Jimmy Vaughan at State Theatre, Falls Church
Sep 8, 2023, 9:53:26 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPyfCTY-IJJyASz8Q9AS-9vmX4e_FRlzNFEIPwl?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	ZZ Ward @ 9:30 Club 9/8/23
Sep 14, 2023, 2:10:55 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipN_i2eT6e_fE92HurEry5HtYuYKVtYQMCCYg5M4?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sonny Landreth @ Hamilton Live 9/13/23
Sep 28, 2023, 12:54:17 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNkjamoVNB6r3gdttJXrjVj4pUT6YRmKi6kVFBg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Adia Victoria 9/27/23 Clarice Smith Performing Arts Center, U-Maryland
Oct 6, 2023, 2:10:52 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNL2aq_mApSizW5BeQw-TThX1F318zqRSoIq51h?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Victor Wooten 10/5/23 @ Fillmore at Silver Spring
Oct 9, 2023, 2:37:43 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMJO8a6tB6wyNcJqrfsNfODcbqr3GaKyBT6BEz3?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier @ Strathmore AMP 10/8/23
Oct 14, 2023, 3:31:19 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMX2F7NSi2-aYYCgSrCKdpT3t_RegYE7EpPvycK?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Daniel Donato at Pearl Street Warehouse 10/13/23
Oct 27, 2023, 1:18:07 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMEu9ZGcvaBOq0ZLw_pFNvv6xhJPMX6bGaEOz-y?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Albert Cummings, Jammin Java 10/26/23
Oct 28, 2023, 6:52:55 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOPpsTRnj79Wx3qziPx2dKG2NPhoypEAxb118lQ?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Laura Rogers and Lydia Slagle of Secret Sisters @ Birchmere 10/22/23
Nov 22, 2023, 1:06:58 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPqIVvhElYX05cEIgNWQGzpIsD0cHJhmZ2lGqgP?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ok, no guitarist in this photo. This very blue-lit band is Lucky Chops @ Union Stage 3/5/23 (l to r) Drummer, Trombone, Trumpet, me, Sousaphone, Bari Sax, Tenor Sax
Nov 26, 2023, 11:38:32 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOw7qsvfBZylIivyo4crOTiya5FzU-99A9X8nAF?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Brian Elmquist, Zach Williams and Kanene Donehey Pipkin of Lone Bellow. The Barns at Wolf Trap 11/26/23
Dec 4, 2023, 1:56:39 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOS4wUE4Nh9HyW3ELmyZlFm5s6qpkduVm0NlQTV?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Eric Johanson @ The Fillmore Silver Spring 12/3/23
Dec 4, 2023, 4:05:44 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNQfOMsL3jVvNfQBbyJBmQZfVYr-j2_J_9fRzz0?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Samantha Fish + Jesse Dayton @ The Fillmore Silver Spring 12/3/23
Dec 11, 2023, 11:56:13 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOjGnlPjoh04agzYEJDUfabEjdZd_n129QxeuTP?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Allison Russell. Yes I'm wearing the tour shirt I just purchased. Birchmere 12/10/23
