# recommend_aliases.tsv — manual alias map for the recommendation lookup index.
#
# One row per surface form the automatic rules (de-invert "X, The", de-accent,
# strip apostrophes/punctuation, drop a trailing " Band") can NOT derive.
# Consumed by build_recommend_index.py.
#
#   Alias     = a spelling someone might type, or that a service uses
#   Canonical = any name that already resolves in the index (the build script
#               normalizes it, so exact spelling/case/accents don't matter)
#
# Lines beginning with # are ignored. Re-run build_recommend_index.py after edits
# (or just let the GitHub Action regenerate it on commit).
#
# Examples of what does NOT need an entry (handled automatically):
#   "The Lone Bellow"  <-> "Lone Bellow, The"        (de-invert)
#   "Ana Popovic"      <-> "Ana Popović"             (de-accent)
#   "Keb Mo"           <-> "Keb' Mo'"                 (strip apostrophes)
#   "Ally Venable"     <-> "Ally Venable Band"        (drop trailing Band)
#
# CAUTION: some near-identical names are DIFFERENT artists — never add an alias
# merging them. Known case: "Eric Johanson" (blues guitarist, seen 2x) is NOT
# "Eric Johnson" (rock/fusion legend; support on the 2025 Experience Hendrix bill).
# Their normalized keys differ by one character — keep them separate.
#
Alias	Canonical
Billy F Gibbons	Billy Gibbons
Trombone Shorty	Trombone Shorty & Orleans Avenue
Trombone Shorty and Orleans Avenue	Trombone Shorty & Orleans Avenue
Kingfish	Christone 'Kingfish' Ingram
Daniel Donato's Cosmic Country	Daniel Donato
Robert Randolph & The Family Band	Robert Randolph
Mr. Sipp " The Mississippi Blues Child "	Mr. Sipp
Taj Mahal and the Phantom Blues Band	Taj Mahal
John Primer & The Real Deal Blues Band	John Primer
Victor Wooten & The Wooten Brothers	Victor Wooten
Experience Hendrix (Kenny Wayne Shepherd)	Kenny Wayne Shepherd
Bill Murray and His Blood Brothers	Blood Brothers
