Show Date	Headliner	Seen With	Role	Spotify URL	Notes
2023-06-20	Christone 'Kingfish' Ingram	DeShawn 'D-Vibes' Alexander	keyboards	https://open.spotify.com/artist/7fGOaoLTAtMD4z8fiLcBj9	Kingfish band
2023-12-05	The Allman Betts Band	Devon Allman	guitar	https://open.spotify.com/artist/5O5nBuQStX2FGY5rRZG0ny	co-founder
2023-12-05	The Allman Betts Band	Duane Betts	guitar	https://open.spotify.com/artist/0Hd5wMyas6F2k5kBNeBmnB	co-founder
2023-12-05	The Allman Betts Band	Tal Wilkenfeld	bass	https://open.spotify.com/artist/3XzPQsdtlMMHxKERG8a1Bu	sit-in (Allman Family Revival)
2024-03-21	Jon Batiste	Trombone Shorty	trombone	https://open.spotify.com/artist/37ZvFp654tY74Z1D2TLOGR	unbilled appearance; drum finale
2024-10-19	Shemekia Copeland	Arthur Neilson	guitar	https://open.spotify.com/artist/5RHFQs0bFxE4ym3HLdWJZP	band guitarist
2025-02-27	Mike Zito	Scot Sutherland	bass	https://open.spotify.com/artist/15yYaCPpcHRdUO5MX1xXhB	Mike Zito band
2025-06-08	TajMo: The Taj Mahal & Keb' Mo' Band	Taj Mahal	vocals, guitar	https://open.spotify.com/artist/1aTDTChWWyiJH3SEnYrdVp	co-headliner
2025-06-08	TajMo: The Taj Mahal & Keb' Mo' Band	Keb' Mo'	vocals, guitar	https://open.spotify.com/artist/6iDaoPZVgxrTkndDCisX8F	co-headliner
2026-05-09	Vanessa Collier	Laura Chavez	guitar	https://open.spotify.com/artist/39qB5Kj80W3eIDrI1PHXf2	band guitarist; RHBS + hat signer
2026-05-30	SatchVai Band	Joe Satriani	guitar	https://open.spotify.com/artist/2yzxX2DI9LFK8VFTyW2zZ8	co-headliner
2026-05-30	SatchVai Band	Steve Vai	guitar	https://open.spotify.com/artist/32Jb1X3wSmmoHj2epZReZA	co-headliner
