Artist	Album URL
Albert Castiglia	https://photos.redhat-bootlegs.net/share/Aph2sKF1A84omJ-AmcCWVYPCCJ8dFOetVoFUJ0_HEhwYrAEFWSsvIfIz5E9m-_x2H2k
Albert Cummings	https://photos.redhat-bootlegs.net/share/-PBf2iu5yufsilcUDz3viGqNW7HhFyAi7Q5Tw-8l3qGsUtjey4UEuDBYTAF-SCxILEc
Ally Venable Band	https://photos.redhat-bootlegs.net/share/afBGX7vuEPY4Ua9MyLOcnVWxBRm0itrvef0Vl_WTDAiN7B3-JUm-jY6ECekV7Dzv8ZY
Ana Popović	https://photos.redhat-bootlegs.net/share/sUE2xYEH8fqOT9qRfkQ6vt2NrqKG96-tpEPPywPDej-FTtG0FAZitvN-TFnNV4u1_oU
Brandon Miller	https://photos.redhat-bootlegs.net/share/7F9pfSxG-F4BaBwHYw16hrl_6r38Gsdo_Wi4pQJNnEmornEcUyl5YzQqXdi2-uc31Iw
Bywater Call	https://photos.app.goo.gl/cXrQEjjZF1zx5dC18
Danielle Nicole	https://photos.redhat-bootlegs.net/share/XdY96icAWA_fQdHq35K4apCktmQOx2mpUIY4QQeJzUlb2wyZoM4117JPBTGImiv4j9A
Eric Gales	https://photos.redhat-bootlegs.net/share/MJF0BtnvFcnQjxz8aqr_QdtSs_3aC4rBRs3uUvuRQY-AjCCxHO4izikOWCVKqGH1Euw
Eric Johanson	https://photos.redhat-bootlegs.net/share/JX8qvaZmeDeifH9BunZPWLQ2Dg9UgG7BGTaifOCax2BymdpDuH0xNHmJraroU2nwmbk
Jackie Venson	https://photos.redhat-bootlegs.net/share/sqbGfAwQwAlvC1YwWepOTHrbXTsAu3RkLSTfzUAKJ-yiDVAo7BZlP5p_nxFGfe7SiVI
Jake Xerxes Fussell	https://photos.redhat-bootlegs.net/share/JQnrFFDD5XI23-NPx0kBwujhgox2epbaskX0QwOWVKS6HZRa7vzZ2LB_PZgrSDdCmMY
Judith Hill	https://photos.redhat-bootlegs.net/share/jdgxLfUBEikRZCLYVSpWz3aI357C0iyEMc19MSp7AncsRmPKNmdM5uhKcqZr65rudms
Larkin Poe	https://photos.redhat-bootlegs.net/share/H2W13TMF5lC_AFHL-lYQIP7E7_X8BM3Hd7KRekjS_fXsWnpF45Y3roRLAS4bZp6_V4M
The Lone Bellow	https://photos.redhat-bootlegs.net/share/_0HSjwO1dyq8FBr_ohXpyIhnArMsL1UvPjqIJi3JD7dr8wAtjnmHFg7rRIJt6t63AsY
Mike Zito	https://photos.redhat-bootlegs.net/share/swMknkPEZuCtRPuQ-vmB9NUs4hFkX7nvVoAyVtxbKTntlJDocg01U6x2D0TJXcFRrg0
Selwyn Birchwood	https://photos.redhat-bootlegs.net/share/-6P6Y7FGayJsniUIEGi4tIJYz-lv3x9VYXrok28oGxGZxX0qlXkMiQcOp36pXpXZMAw
Sonny Landreth	https://photos.redhat-bootlegs.net/share/pBEakYJyyQ4zG0r40Fs_UiEjhriQIaLtGTqAurR9-GnqlVGKclGNoJU6T3DWjrd_u3E
Southern Avenue	https://photos.app.goo.gl/RJbrZ73rus73Ydhg6
Sue Foley	https://photos.redhat-bootlegs.net/share/61hqpe9m-JKT22tBKbpFisTB16_gQzRO1GyIkp8WDFEIF9pm-3QNFNaTLe_T_CR4Mr8
Valerie June	https://photos.redhat-bootlegs.net/share/qXie3RTe0Kcot9t3TLaOuTsGEwmUmI8C7j5jIg3RGbq7pj6IBNZZkKimZ9OagZH5PN8
Vanessa Collier	https://photos.redhat-bootlegs.net/share/VbzVvYhij4QhDTChWAGYR1F_DX_7gHD_2QxeTVS8iEaa3kDV-Q-lNB_oSZ7ePmbDg5U
ZZ Ward	https://photos.redhat-bootlegs.net/share/-UxzV6HGzamgBqoPKEOy_HNVpouGNfr0hgJnh1NEd7wU-QB0BYtKcg-AeACekkwLkxg
Adia Victoria	https://photos.redhat-bootlegs.net/share/eEf1XPDhV_YuUDnqshj_ppW1rjcvbsyTBu1Mjq71pogA-VPpL_jW0VUZk3FPNI9zndA
Allison Russell	https://photos.redhat-bootlegs.net/share/GRxpay7XS8ILveAsZmOil-0zM17VSsCcEXXmxOdANIq8l-6O27rStI92PzUD4HSe3MQ
Amythyst Kiah	https://photos.redhat-bootlegs.net/share/rZQ1VVvqG-5ShIwRNBzKWzw6-6JwX5LHAQDXXoeAJdEgZw8Vk18-VMR1Pj76X1BWOTQ
Artur Menezes	https://photos.redhat-bootlegs.net/share/M0oXwWmyQllCI5rcRAKV8rgUjjeIBEVLfS-Vun8wtVmM9i-7KXa99eOzNczbPnz4p-0
Augustus Tritsch	https://photos.redhat-bootlegs.net/share/OkVzoOH_NVVCWkIvqez72aKSjSOMLS4diB3qyoJCczZYq3K2Slkog28b1V7HgJeopuc
Billy Gibbons	https://photos.redhat-bootlegs.net/share/MHcvOTy1ff-kw77Y9t9aJNHCTY4cbuZMGqYmA4k6F32zD3GsEtPpEa6djonQKryYqRU
Brian Elmquist	https://photos.redhat-bootlegs.net/share/lm9CS-JzZjPALOsf_bzvI35gBroY5dDtnHtgQbznR5ELVizxDjOqMM-W6fuWtTBsl9M
Buffalo Nichols	https://photos.redhat-bootlegs.net/share/AGtHp8mwE2DQ15tVPGwpw71ts9z6eETDW4omLsuypyRv-JZ6zqC8N1mRrz2hEA5iQok
Chas Waltz	https://photos.redhat-bootlegs.net/share/eJQ0GJ9wDk-uBpQQVFw_s9SpRU-qQg73ga34sD3qWq4LoAphq31AijKI8iS0SXSIOjw
Christone 'Kingfish' Ingram	https://photos.redhat-bootlegs.net/share/USpYsc3OsIEvWD8jeJyDlats0mKhFkbgwoBYsrRqeAo4XZdVU1Cb8_xLaC9mLVmu-nQ
D.K. Harrell	https://photos.redhat-bootlegs.net/share/TMVfwyQGBI7v7U0hx5Zu52fUE92AVLevCOLJvXykNaNazHs1Y5RHp885sBUmkPYgjo4
