Artist	In APS	APS Page	APS Signed	APS Autograph Notes	In RHBS	RHBS Signed
Aaron Lee Tasjan	Yes	42	No		No	
Adam Lester	No				Yes	
Adam Wakefield	Yes	151	No		No	
Adrian Belew	Yes	13	No		No	
AJ Lee	Yes	78	No		No	
Alan Nimmo	No				Yes	
Alastair Greene	No				Yes	
Albert Castiglia	No				Yes	
Alejandro Escovedo	Yes	92	No		No	
Allison Moorer	Yes	205	No		No	
Allison Russell	Yes	69	Yes	autographed	No	
Allman Family Revival	No				Yes	
Ally Venable	No				Yes	Yes
Alvino Bennett	No				Yes	
Amanda Shires	Yes	197	No		No	
Amy Lavere	Yes	21	No		No	
Amythyst Kiah	Yes	75	Yes	autographed	No	
Anders Osborne	No				Yes	
Andrew Espantman	No				Yes	
Artur Menezes	No				Yes	
Ashley Campbell	Yes	104	No		No	
Aubrie Sellers	Yes	149	No		No	
Band of Heathens	Yes	196	No		No	
Baskery	Yes	152	No		No	
Ben Nichols	Yes	43	No		No	
Ben Sollee	Yes	131	No		No	
Bernie Marsden	No				Yes	
Berry Duane Oakley	No				Yes	
Bettye Lavett	Yes	91	No		No	
Billy Bragg	Yes	218	No		No	
Birds of Chicago	Yes	69	Yes	Allison autographed	No	
Black Country Communion	No				Yes	
Blind Boys of Alabama	Yes	85	No		No	
Blood Brothers	No				Yes	
Bob Fridzema	No				Yes	
Bobby Rush	Yes	72	No		Yes	No
Bonnie Bishop	Yes	162	No		No	
Brandon 'Taz' Niederauer	No				Yes	
Brent Cobb	Yes	140	No		No	
Bruce Cockburn	Yes	143	No		No	
Bruce Hornsby	Yes	147	No		No	
Bruce Hornsby and the Noisemakers	Yes	147	No		No	
Buddy Miller	Yes	102	No		No	
Buick 6	Yes	54	No		No	
Caleb Crosby	No				Yes	
Calvin Turner	No				Yes	
Carolyn Wonderland	No				Yes	
Caylee Hammack	Yes	120	No		No	
Cedric Burnside	Yes	38	No		No	
Charlie Sexton	No				Yes	
Charlie Starr	Yes	183	No		No	
Chastity Brown	Yes	46	No		No	
Chatham County Line	Yes	64	No		No	
Chely Wright	Yes	66	No		No	
Chris America	No				Yes	
Chris Cain	No				Yes	
Chris Isaak	Yes	141	No		No	
Chris Robinson	Yes	97	No		No	
Chris Smither	Yes	88	No		No	
Chris Stamey	Yes	163	No		No	
Christone Ingram	Yes	148	No		No	
Colin Hay	Yes	139	No		No	
Conor Oberst	Yes	177	No		No	
Corb Lund	Yes	79	No		No	
Courtney Marie Andrews	Yes	208	No		No	
Dale Watson	Yes	49	No		No	
Dan Navarro	Yes	121	No		No	
Daniel Huscroft	Yes	161	No		No	
Danielle Nicole	No				Yes	Yes
Danielle Nicole Band	No				Yes	
Danny Burns	Yes	184	No		No	
