Artist	Eligible	Basis	In APS	APS Page	In RHBS
Aaron Lee Tasjan	Yes		Yes	42	No
Adam Lester	Yes		No		Yes
Adam Wakefield	Yes		Yes	151	No
Adrian Belew	Yes		Yes	13	No
AJ Lee	Yes		Yes	78	No
Alan Nimmo	Yes		No		Yes
Alastair Greene	Yes		No		Yes
Albert Castiglia	Yes		No		Yes
Alejandro Escovedo	Yes		Yes	92	No
Allison Moorer	Yes		Yes	205	No
Allison Russell	Yes		Yes	69	No
Allman Family Revival	Yes		No		Yes
Ally Venable	Yes		No		Yes
Alvino Bennett	Yes		No		Yes
Amanda Shires	Yes		Yes	197	No
Amy Lavere	Yes		Yes	21	No
Amythyst Kiah	Yes		Yes	75	No
Anders Osborne	Yes		No		Yes
Andrew Espantman	Yes		No		Yes
Artur Menezes	Yes		No		Yes
Ashley Campbell	Yes		Yes	104	No
Aubrie Sellers	Yes		Yes	149	No
Band of Heathens	Yes		Yes	196	No
Baskery	Yes		Yes	152	No
Ben Nichols	Yes		Yes	43	No
Ben Sollee	Yes		Yes	131	No
Bernie Marsden	Yes		No		Yes
Berry Duane Oakley	Yes		No		Yes
Bettye Lavett	Yes		Yes	91	No
Billy Bragg	Yes		Yes	218	No
Birds of Chicago	Yes		Yes	69	No
Black Country Communion	Yes		No		Yes
Blind Boys of Alabama	Yes		Yes	85	No
Blood Brothers	Yes		No		Yes
Bob Fridzema	Yes		No		Yes
Bobby Rush	Yes		Yes	72	Yes
Bonnie Bishop	Yes		Yes	162	No
Brandon 'Taz' Niederauer	Yes		No		Yes
Brent Cobb	Yes		Yes	140	No
Bruce Cockburn	Yes		Yes	143	No
Bruce Hornsby	Yes		Yes	147	No
Bruce Hornsby and the Noisemakers	Yes		Yes	147	No
Buddy Miller	Yes		Yes	102	No
Buick 6	Yes		Yes	54	No
Caleb Crosby	Yes		No		Yes
Calvin Turner	Yes		No		Yes
Carolyn Wonderland	Yes		No		Yes
Caylee Hammack	Yes		Yes	120	No
Cedric Burnside	Yes		Yes	38	No
Charlie Sexton	Yes		No		Yes
Charlie Starr	Yes		Yes	183	No
Chastity Brown	Yes		Yes	46	No
Chatham County Line	Yes		Yes	64	No
Chely Wright	Yes		Yes	66	No
Chris America	Yes		No		Yes
Chris Cain	Yes		No		Yes
Chris Isaak	Yes		Yes	141	No
Chris Robinson	Yes		Yes	97	No
Chris Smither	Yes		Yes	88	No
Chris Stamey	Yes		Yes	163	No
Christone Ingram	Yes		Yes	148	No
Colin Hay	Yes		Yes	139	No
Conor Oberst	Yes		Yes	177	No
Corb Lund	Yes		Yes	79	No
Courtney Marie Andrews	Yes		Yes	208	No
Dale Watson	Yes		Yes	49	No
Dan Navarro	Yes		Yes	121	No
Daniel Huscroft	Yes		Yes	161	No
Danielle Nicole	Yes		No		Yes
Danielle Nicole Band	Yes		No		Yes
Danny Burns	Yes		Yes	184	No
Darden Smith	Yes		Yes	45	No
Darrell Scott	Yes		Yes	222	No
Dave Alvin	Yes		Yes	32	No
David Bromberg	Yes		Yes	115	No
David Crosby	Yes		Yes	83	No
David Starr	Yes		Yes	117	No
Davy Knowles	Yes		No		Yes
Dawes	Yes		Yes	53	No
Del McCoury	Yes		Yes	23	No
Delbert McClinton	Yes		Yes	84	No
Dennis Jones	Yes		No		Yes
Derek Trucks	Yes		No		Yes
Devon Allman	Yes		No		Yes
Devon Allman Project	Yes		No		Yes
Dom Flemons	Yes		Yes	67	No
Dom Martin	Yes		No		Yes
Donavon Frankenreiter	Yes		Yes	160	No
Doug Macleod	Yes		Yes	186	No
Duane Betts	Yes		No		Yes
Elizabeth Cook	Yes		Yes	15	No
Eric Gales	Yes		No		Yes
Fats Kaplin	Yes		Yes	198	No
Freedy Johnston	Yes		Yes	159	No
George Thorogood	Yes		No		Yes
George Thorogood & The Destroyers	Yes		No		Yes
Glen Phillips	Yes		Yes	16	No
Glenn Hughes	Yes		No		Yes
Graham Whitford	Yes		No		Yes
Griffin House	Yes		Yes	195	No
Guy King	Yes		No		Yes
Hayes Karll	Yes		Yes	73	No
Henry James	Yes		No		Yes
I'm With Her	Yes		Yes	170	No
India Ramey	Yes		Yes	65	No
J.D. Souther	Yes		Yes	116	No
Jack Broadbent	Yes		No		Yes
Jack Pearson	Yes		Yes	200	No
Jackie Venson	Yes		No		Yes
Jade Bird	Yes		Yes	158	No
Jade MacRae	Yes		No		Yes
Jake Abernathie	Yes		No		Yes
James Hunter	Yes		Yes	89	No
James McMurtry	Yes		Yes	169	No
Jamie Hunting	Yes		No		Yes
Jared James Nichols	Yes		No		Yes
