seq	signer	book	attribution	show_date	venue	region	photo_ref	legible	confidence	notes
1	Oliver Wood	APS	of The Wood Brothers (p106)	2025-01-22	The Birchmere				signed at his solo show
2	Langhorne Slim	APS	self (p206)	2025-01-22	The Birchmere				same bill as Oliver Wood signing
3	Tanya Trotter	APS	of The War and Treaty	2025-04-11	Lincoln Theatre				signed from stage
4	Michael Trotter Jr.	APS	of The War and Treaty	2025-04-11	Lincoln Theatre				signed from stage
5	Allison Russell	APS	of Birds of Chicago (p69)	2025-05-03	Lincoln Theatre				sent backstage to sign
6	Rebecca Lovell	APS	of Larkin Poe (p172)	2025-05-09	9:30 Club				
7	Megan Lovell	APS	of Larkin Poe (p172)	2025-05-09	9:30 Club				
8	Amythyst Kiah	APS	self (p75)	2025-07-21	Jammin' Java				
9	Ruthie Foster	APS	self (p137)	2025-10-26	Hamilton Live				
10	Luther Dickinson	APS	of North Mississippi Allstars (p203)	2025-11-08	The Barns at Wolf Trap				signed from stage
11	Zach Williams	APS	of The Lone Bellow (p182)	2025-11-14	Union Stage				
12	Kanene Pipkin	APS	of The Lone Bellow (p182)	2025-11-14	Union Stage				
13	Brian Elmquist	APS	of The Lone Bellow (p182)	2025-11-14	Union Stage				
14	Keb' Mo'	APS	Kevin Moore entry (p37)	2025-11-21	Maryland Hall				sent backstage to sign
15	Vanessa Collier	RHBS	self	2026-02-14	Rams Head On Stage				
16	Sue Foley	RHBS	self	2026-03-11	Hamilton Live				
17	Taj Farrant	RHBS	self	2026-03-18	Rams Head On Stage				M&G add-on; sent backstage with his dad/manager
18	Danielle Nicole	RHBS	self	2026-03-20	Hamilton Live				pinned by RHBS ownership window
19	Ally Venable	RHBS	of Ally Venable Band	2026-04-20	Rams Head On Stage				
20	Selwyn Birchwood	RHBS	self	2026-03-29	Collective Encore				
21	Regi Oliver	RHBS	of Selwyn Birchwood band (bari sax)	2026-03-29	Collective Encore				signed pre-show
22	Laura Chavez	RHBS	w/ Vanessa Collier (band)	2026-05-09	Collective Encore				signed at the bar pre-show
