seq	signer	attribution	show_date	venue	region	photo_ref	legible	confidence	notes
1	ZZ Ward		2023-09-08	9:30 Club	brim-top		Y	high	brim-top 9/9; signs as ZZ
2	Kanene Pipkin	of The Lone Bellow	2023-11-26	Wolf Trap					
3	Samantha Fish		2023-12-03	Fillmore Silver Spring					
4	Allison Russell		2023-12-10	The Birchmere					
5	Poliana "Pops" Magalhães	w/ Artur Menezes Band	2024-02-20	Hamilton Live	brim-top	PXL_20260630_142715824	Y	high	brim-top 6/9 (~6:00); signs as 'Pops'
6	Charly Lowry	w/ Rhiannon Giddens	2024-03-18	Music Center at Strathmore					
7	Al Olender	w/ Shovels & Rope	2024-04-10	Rams Head On Stage					
8	Danielle Nicole		2024-04-12	Hamilton Live					
9	Judith Hill		2024-04-13	Fillmore Silver Spring	back-left	PXL_20260630_142701368	Y	high	panel anchor (Dan)
10	Vanessa Collier		2024-04-19	Collective Encore					
11	Joanne Shaw Taylor		2024-04-26	The Maryland Theatre	front		Y	high	panel anchor (Dan); signs as JST
12	Jackie Venson		2024-06-06	Color Burst Park	back-right	PXL_20260630_142644624	Y	high	in Talia Segal panel (Dan)
13	Rebecca Porter	w/ John Hiatt	2024-06-10	The Birchmere					
14	Mikaela Davis		2024-06-25	Pearl Street Warehouse	back		Y	high	panel anchor (Dan)
15	Sue Foley		2024-08-23	Hamilton Live	crown-top		Y	high	crown-top 1/4 (12:00)
16	Laura Chavez	w/ Vanessa Collier	2024-09-08	Rams Head On Stage					
17	Carly Harvey	w/ Selwyn Birchwood	2024-09-18	Capital One Hall					
18	Suzanne Vega		2024-09-25	The Birchmere	brim-top	PXL_20260630_142644624	Y	high	brim-top 4/9
19	Valerie June		2024-10-05	Publick Playhouse					
20	Talia Segal		2024-10-08	DC9	back-right	PXL_20260630_142644624	Y	high	panel anchor (Dan) — 'Talia Segal panel'; RIP
21	Ana Popović		2024-10-16	Hamilton Live		PXL_20260630_142644624	partial	low	AP monogram seen; panel TBD
22	Shemekia Copeland		2024-10-19	Rams Head On Stage					
23	Mali Obomsawin	co-bill w/ Jake Blount	2024-11-09	Kennedy Center	crown-top	PXL_20260630_142715824	partial	med	crown-top 4/4 (~6:00); M·B initials, not Muireann Bradley; poss. Mali
24	Lindsay Lou	w/ Wood Brothers	2024-11-16	Music Center at Strathmore	brim-top		Y	high	brim-top 5/9; signs as LL
25	Ghalia Volt	w/ Samantha Fish	2024-11-20	Warner Theatre	front-left	PXL_20260630_142701368	Y	high	panel anchor (Dan)
26	CJ Johnson	of Oh He Dead	2024-12-06	Capital One Hall					
27	Yasmin Williams		2025-02-07	The Birchmere					
28	Rose Baldino	of Enter the Haggis	2025-02-26	Wolf Trap					
29	Caroline Browning	of Enter the Haggis	2025-02-26	Wolf Trap					
30	Tierinii Jackson	of Southern Avenue	2025-03-21	Rams Head On Stage					unplaced — only Ava Jackson read on underside walk
31	Tikyra Jackson	of Southern Avenue	2025-03-21	Rams Head On Stage					unplaced — only Ava Jackson read on underside walk
32	Ava Jackson	of Southern Avenue	2025-03-21	Rams Head On Stage	brim-underside	PXL_20260630_142755112	partial	low	brim-underside 5/9; low confidence (Dan)
33	Muireann Bradley		2025-04-24	Kennedy Center					elsewhere per Dan; panel TBD (not the crown-top M·B)
34	Rebecca Lovell	of Larkin Poe	2025-05-09	9:30 Club	brim-underside	PXL_20260630_142755112	Y	high	brim-underside 7/9; Larkin Poe; signs as REBL
35	Megan Lovell	of Larkin Poe	2025-05-09	9:30 Club	brim-underside	PXL_20260630_142755112	partial	high	brim-underside 8/9; next to REBL; Larkin Poe
36	Amythyst Kiah	w/ Larkin Poe	2025-05-09	9:30 Club	back-right	PXL_20260630_142644624	Y	high	directly below Jackie Venson (Dan)
37	Ally Venable		2025-05-14	Rams Head On Stage					
38	Georgie Fuller	of The Heavy Heavy	2025-06-13	The Atlantis					
39	Judy Blank	w/ The Heavy Heavy	2025-06-13	The Atlantis	front-right	PXL_20260630_142644624	Y	high	panel anchor (Dan)
40	Jax Hollow		2025-07-17	Rams Head On Stage					
41	Meghan Parnell	of Bywater Call	2025-09-23	Pearl Street Warehouse					
42	Ruthie Foster		2025-10-26	Hamilton Live	brim-underside	PXL_20260630_142755112	partial	high	brim-underside 4/9
43	Aila Wildman	of the Wildmans	2025-12-04	9:30 Club	brim-underside	PXL_20260630_142755112	Y	high	brim-underside 1/9 (12:00)
44	Mohini Dey		2026-02-19	The Birchmere	ribbon	PXL_20260630_142701368	Y	high	ribbon 1/1 (12:00); only ribbon sig
45	Jesse Williams	w/ ZZ Ward	2026-03-21	The Birchmere					
46	Margaret Glaspy	w/ Glen Hansard	2026-04-12	9:30 Club	brim-underside	PXL_20260630_142755112	Y	high	brim-underside 3/9; dated 2026
47	Orianthi		2026-06-11	Rams Head On Stage				signed from stage
