seq	signer	attribution	item	signed	show_date	venue	region	photo_ref	legible	confidence	notes
1	ZZ Ward		vinyl (Dirty Shine LP)	Y	2026-03-21	The Birchmere				high	VIP bundle; most recent of 2 LPs autographed - other LP and poster unsigned, track?
2	Selwyn Birchwood		CD	Y	2026-03-29	Collective Encore				low	verify CD actually signed vs plain merch purchase; remove row if unsigned
3	Tommy Castro		CD	Y	2026-04-19	Rams Head On Stage				medium	note says "Signed CD" - verify signer and which album
4	Ally Venable		photo print	Y	2026-04-20	Rams Head On Stage				high	photo from 2025-05-14 show; recorded under signing date, origin show noted here
5	Zach Williams	of The Lone Bellow	portrait print	Y	2026-05-14	The Birchmere				high	trio-signed prints from 2024-11-16 Wolf Trap show; signed at VIP - verify count of physical prints
6	Kanene Pipkin	of The Lone Bellow	portrait print	Y	2026-05-14	The Birchmere				high	same item as seq 5
7	Brian Elmquist	of The Lone Bellow	portrait print	Y	2026-05-14	The Birchmere				high	same item as seq 5
8	The Lone Bellow		poster (2026 tour)	Y	2026-05-14	The Birchmere				low	signers to verify - split into member rows if individually signed
9	Jackie Venson		poster	Y	2026-06-04	New Spire Arts				high	signed leaving the venue; "again" - check for prior signed poster from 2024-06-06
10	Jackie Venson		t-shirt	Y	2026-06-04	New Spire Arts				high	signed with the poster
11	Orianthi		pick	N	2026-06-11	Rams Head On Stage				high	the pick she used on the Voodoo Child cover; unsigned memento
12	Ori Naftaly	of Southern Avenue	poster (show poster)	Y	2026-08-12	Rams Head On Stage		https://photos.google.com/share/AF1QipNTakvZ6m1PdFylSz0OIZlfWt6sUjMiPfFC_LsAb7JaghL2PL5t1vw0SVcbXvX4Ow?key=XzBRMWlTVjFMOVo0RXNfTWJkRG1nYkJ3ZlgzY3hB		high	four-signer poster, one row per signer
13	Tierinii Jackson	of Southern Avenue	poster (show poster)	Y	2026-08-12	Rams Head On Stage		https://photos.google.com/share/AF1QipNTakvZ6m1PdFylSz0OIZlfWt6sUjMiPfFC_LsAb7JaghL2PL5t1vw0SVcbXvX4Ow?key=XzBRMWlTVjFMOVo0RXNfTWJkRG1nYkJ3ZlgzY3hB		high	same item as seq 12
14	Ava Jackson	of Southern Avenue	poster (show poster)	Y	2026-08-12	Rams Head On Stage		https://photos.google.com/share/AF1QipNTakvZ6m1PdFylSz0OIZlfWt6sUjMiPfFC_LsAb7JaghL2PL5t1vw0SVcbXvX4Ow?key=XzBRMWlTVjFMOVo0RXNfTWJkRG1nYkJ3ZlgzY3hB		high	same item as seq 12; Ava's farewell tour with Southern Avenue (announced 2026-08-16)
15	Tikyra Jackson	of Southern Avenue	poster (show poster)	Y	2026-08-12	Rams Head On Stage		https://photos.google.com/share/AF1QipNTakvZ6m1PdFylSz0OIZlfWt6sUjMiPfFC_LsAb7JaghL2PL5t1vw0SVcbXvX4Ow?key=XzBRMWlTVjFMOVo0RXNfTWJkRG1nYkJ3ZlgzY3hB		high	same item as seq 12; Tikyra's farewell tour with Southern Avenue (announced 2026-08-16)
16	Christone 'Kingfish' Ingram		pick	N	2024-06-27	The Fillmore Silver Spring		https://photos.google.com/share/AF1QipP1Ij6dIlZArWXqpr291x2w5tyq9z-BL4-YKZzIu2o4VrZX_7DiInE8fFa5FdPm6g?key=VGZDb2FFc3dkLS1QX1V3dkFOTW1TWVNDTF8xRVVR		high	Tortex pick branded with the Kingfish logo; unsigned memento
17	Christone 'Kingfish' Ingram		pick	N	2023-06-20	The 8x10		https://photos.google.com/share/AF1QipPw9hfa1dk63jV8h14WDXXEcjS9bHwel0QQazROfhUVhvMjQRDdI0dtvXd3QwMxuw?key=QnBSVXVLdHZIdjh5TlNkeGFrUkZ1ZXdYeUJsYWZn		high	pick printed with 'Nashville Jam Session'; unsigned memento
18	Slash		pick	N	2024-08-07	Koka Booth Amphitheatre	NC	https://photos.google.com/share/AF1QipMRZTOTfUMTFddiLFxbfb0d2nEUOhDNmWVP5wkz_Y6PGKjpzFybLgpi6alhi0OKwg?key=dG5rQWNmU3diRXZwTDk2cU9CWU5HMlM5SmJmMXRR		high	S.E.R.P.E.N.T. festival VIP perk, not played; printed with ONE FREE DRINK and the Slash logo
19	ZZ Ward		pick	N	2023-09-08	9:30 Club		https://photos.google.com/share/AF1QipOG1q_MnfaC7ITBIiJ8Du6wXG2PDoiWEJsMkROE2KxPy1ZnkYKnsUGZu_s7wrHP4w?key=U2M1d2xIVGhYTGRIUE1za2NqbEdtYmhLRW5DNDdR		high	Tortex logo, Dunlop USA .60mm
20	Sue Foley		poster (One Guitar Woman)	Y	2026-03-11	Hamilton Live		https://photos.google.com/share/AF1QipO7cMlYoiydYwQjrMNCfphv8vX7gHUZACyqiiOW5n5W9yJVYucWR779ojK-TmGSYQ?key=M0xnLTRpSHVKVWdtemhoVGJlUjRtRmoyZi1vUVFB	Y	high	personal inscription "To Dan All the Best"
21	Zach Williams	of The Lone Bellow	poster (2025 tour)	Y	2025-11-14	Union Stage		https://photos.google.com/share/AF1QipN3MlSSZ4A-UXDkBpXnHE9OYgKza-ch6iX1cq44ijnlJCnfFE9YJuqVQAPPSeBD0A?key=Ymp4SXhMQXo4SlF3RXVkOHFJcWh2aHNXaVBoR0Zn	Y	high	three-signer poster, one row per signer; pre-signed for VIP attendees
22	Kanene Pipkin	of The Lone Bellow	poster (2025 tour)	Y	2025-11-14	Union Stage		https://photos.google.com/share/AF1QipN3MlSSZ4A-UXDkBpXnHE9OYgKza-ch6iX1cq44ijnlJCnfFE9YJuqVQAPPSeBD0A?key=Ymp4SXhMQXo4SlF3RXVkOHFJcWh2aHNXaVBoR0Zn	Y	high	same item as seq 21
23	Brian Elmquist	of The Lone Bellow	poster (2025 tour)	Y	2025-11-14	Union Stage		https://photos.google.com/share/AF1QipN3MlSSZ4A-UXDkBpXnHE9OYgKza-ch6iX1cq44ijnlJCnfFE9YJuqVQAPPSeBD0A?key=Ymp4SXhMQXo4SlF3RXVkOHFJcWh2aHNXaVBoR0Zn	Y	high	same item as seq 21
