Tag	Weight	Family	Notes
blues	2	blues	core
blues rock	2	blues	core
electric blues	2	blues	
delta blues	2	blues	
chicago blues	2	blues	
texas blues	2	blues	
country blues	2	blues	
acoustic blues	2	blues	
americana	2	americana	core
roots	2	americana	
roots rock	2	americana	
alt-country	1	americana	
country	1	americana	broad - outlaw and mainstream both land here
folk	1	americana	broad - real folk and coffeehouse pop both land here
folk rock	1	americana	
soul	1	soul-funk	
funk	1	soul-funk	
new orleans	1	soul-funk	
gospel	1	soul-funk	
r&b	1	soul-funk	
bluegrass	1	bluegrass	adjacent - Greensky / Billy Strings shape
jam	1	jam	
jam band	1	jam	
southern rock	1	rock	
rock	0	rock	
classic rock	0	rock	
singer-songwriter	0	-	too broad to score either way
indie	0	-	too broad
alternative	0	-	too broad
jazz	-1	jazz	Blues Alley lesson - most of that room is off-profile
indie pop	-1	pop	
pop	-1	pop	
indie rock	-1	rock	
hip-hop	-1	hip-hop	
rap	-1	hip-hop	
metal	-2	metal	
punk	-2	punk	
hardcore	-2	punk	
edm	-2	electronic	
electronic	-2	electronic	
electronica	-2	electronic	
seen live	x	-	not a genre
american	x	-	not a genre
usa	x	-	not a genre
female vocalists	x	-	not a genre
male vocalists	x	-	not a genre
under 2000 listeners	x	-	not a genre
favorites	x	-	not a genre
favourites	x	-	not a genre
guitar	x	-	not a genre
