Date	Day	Time	Event	Venue	City/Address	Type	Tickets URL
2026-05-15	Fri	7:00PM	Angelique Francis @ 443 Social Club	The 443 Social Club & Lounge Syracuse	443 Burnet Avenue, Syracuse, NY 13203	Concert	https://www.eventbrite.com/e/angelique-francis-at-the-443-social-club-tickets-1982631378825
2026-05-29	Fri	8:00PM	Angelique Francis @ THE BASOCHE	THE BASOCHE	120 rue Principale (Aylmer sector), Gatineau, Quebec J9H 3M3, Canada		https://calendrier.gatineau.cloud/calendrier/evenement.aspx?langue=fr-ca&id_evenement=45548
2026-06-19	Fri	6:30PM	Ottawa Jazz Festival	Confederation Park - Main Stage	Elgin St, Ottawa, ON K1P 5J2		https://program.ottawajazzfestival.com/item/30061-Angelique-Francis-Band
2026-06-25	Thu	7:00PM	Saguenay Jazz Festival	Saguenay Jazz Festival	460 Rue Racine E, Chicoutimi, QC G7H 1T5, Canada	Jazz Festival	https://www.jazzfestsaguenay.com/events/angelique-francis
2026-06-26	Fri		DEV FEST 2026 Cornwall	DEV Hotel & Conference Centre Waterfront	1950 Montreal Rd, Cornwall, ON K6H 6L2	Music Festival	https://www.eventbrite.com/e/dev-fest-2026-tickets-1975854792874
2026-07-03	Fri		Angelique Francis	Waterfront Blues Festival - Tom McCall Waterfront Park	SW Naito Pkwy, Portland, OR 97204	Blues Festival	https://waterfrontbluesfest.com/tickets/
2026-07-04	Sat	7:00PM	Angelique Francis @ The Queens Nanaimo	The Queens	34 Victoria Crescent, Nanaimo, BC V9R 5B8	Angelique Francis Band in Concert	https://www.thequeens.ca/
2026-07-07	Tue	7:00PM	Angelique Francis @ The Elk Hall Osoyoos	Elk Hall	8506 92 Ave, Osoyoos, BC V0H 1V2	Concert	https://destinationosoyoos.com/event/angelique-francis-band-osoyoos-elks-hall/
2026-07-08	Wed	8:00PM	Angelique Francis @ The Hub on Martin	The Hub on Martin Penticton B.C	260 Martin St, Penticton, BC V2A 5K3	Concert	https://thehubonmartin.ca/tc-events/the-angelique-francis-band/
2026-07-10	Fri		Starbelly Jam Music Festival	Starbelly Jam Music Festival	Crawford Bay, BC	Music Festival	https://starbellyjam.tickit.ca/events/32617-starbelly-jam-2026-music-festival
2026-07-12	Sun	2:00PM	Harrison Music Festival	Harrison Hot Springs	290 Esplanade Ave, Harrison Hot Springs, BC V0M 1K0	Music Festival	https://harrisonfestival.com/festival/artist-lineup/
2026-08-07	Fri	7:45PM	Festival International Blues Donnacona	Main stage under the big top	300 rue de l'Église, Donnacona, Québec, Canada, G3M 1Z5		https://donnaconablues.com/vendredi/
2026-08-14	Fri		White Mountain Boogie and Blues	White Mountain New Hampshire	2010 New Hampshire Rte 175, Thornton, NH 03285, United States	Blues Festival	https://www.whitemountainboogie.com/festival-tickets.php
