Date	Day	Time	Event/Venue	Venue	City	State (or Country if non-USA)
June 3, 2026	Wednesday	7:00PM	Nikki Hill @ Telefonfabriken	Telefonfabriken	Hägersten	
June 4, 2026	Thursday	8:00PM	Nikki Hill @ Medley	Medley	Malmö	
June 5, 2026	Friday	8:00PM	Nikki Hill @ Musikhuset Dexter	Musikhuset Dexter	Odense C	
June 6, 2026	Saturday	8:00PM	Sweden Rock Festival 2026	Norje Boke	Sölvesborg	
June 7, 2026	Sunday	5:30PM	Goezot in't Hofke 2026	Goezot festival	Oud-turnhout	
June 8, 2026	Monday	8:00PM	Nikki Hill @ Banana Peel	Banana Peel	Ruiselede	
June 18, 2026	Thursday	7:00PM	Nikki Hill @ The 443 Social Club & Lounge	The 443 Social Club & Lounge	Syracuse	NY
June 19, 2026	Friday	7:30PM	Rochester Jazz Festival 2026 - Jazz Street Stage	Rochester	New York City	NY
June 19, 2026	Friday	9:30PM	Rochester Jazz Festival 2026 - Jazz Street Stage	Rochester	New York City	NY
June 20, 2026	Saturday	7:00PM	Rochester Jazz Festival 2026 - East and Chestnut Stage	Rochester	New York City	NY
June 27, 2026	Saturday	9:00PM	Nikki Hill @ City Council Monesterio Switchboard	City Council Monesterio Switchboard	Monesterio	
June 29, 2026	Monday	10:00PM	Nikki Hill @ new orleans meets zofingen	new orleans meets zofingen	Zofingen	
June 30, 2026	Tuesday	8:00PM	Nikki Hill @ Handmade Music	Handmade Music	Chur	
July 3, 2026	Friday	11:30PM	Cognac Blues Passions 2026	Public Garden	Cognac	
July 22, 2026	Wednesday	9:00PM	Nikki Hill @ Piazza Europa	Piazza Europa	La Spezia	
July 24, 2026	Friday	8:00PM	Nikki Hill @ G Livelab	G Livelab	Tampere	
July 25, 2026	Saturday	8:00PM	Nikki Hill @ Fuusio	Fuusio	Turku	
July 28, 2026	Tuesday	7:30PM	Nikki Hill @ Kulttuuritehdas Korjaamo	Kulttuuritehdas Korjaamo	Helsinki	
July 29, 2026	Wednesday	7:00PM	Nikki Hill @ Kirjurinluoto Arena	Kirjurinluoto Arena	Pori	
July 31, 2026	Friday	6:00PM	Wentusfest 2026	Villa Skola	Kokkola	
August 2, 2026	Sunday	8:30PM	Megève Blues Festival 2026	Pré de Saint-Amour	Megève	
August 13, 2026	Thursday	6:00PM	Nikki Hill @ Pfiffner Pioneer Park	Pfiffner Pioneer Park	Stevens Point	WI
August 16, 2026	Sunday	7:00PM	Tip Top Deluxe	Tip Top Deluxe Bar & Grill	Grand Rapids	MI
August 22, 2026	Saturday	4:00PM	Blues In The Ballpark 2026	Port Arthur Stadium	Thunder Bay, ON	
March 15, 2027	Monday	7:00PM	Keeping the Blues Alive at Sea 2027	Terminal D - Port of Miami	Miami	FL
April 9, 2027	Friday	7:00PM	Nikki Hill @ Miramar Beach	Miramar Beach	Miramar Beach	FL
