Timestamp	Item Type	Item ID	Title	Operation	Old Description	New Description
2026-04-03T00:19:09.640247	video	_Bfu3LCMAsE	Ally Venable LIVE - Going  Down (bootleg)	search_replace	​@allyvenableband set closer Freddie King cover from Ram's Head On Stage (MD) on 06/28/2023 side of stage, big head dude between me and the front...	​@allyvenableband set closer Freddie King cover from Rams Head On Stage (MD) on 06/28/2023 side of stage, big head dude between me and the front...
2026-04-03T00:19:10.627977	video	ngWu94wA-o4	Ally Venable LIVE - Broken & Blue (bootleg)	search_replace	@allyvenableband  from Ram's Head On Stage (MD) on 06/28/2023 side of stage, big head dude between me and the front...	@allyvenableband  from Rams Head On Stage (MD) on 06/28/2023 side of stage, big head dude between me and the front...
2026-04-03T00:19:11.429020	video	bPbKgJ8k1PQ	Shovels and Rope LIVE - Hail Hail (bootleg)	search_replace	from Ram's Head Live (MD) on 4/10/24	from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:12.472040	video	MExGIUNYtxY	Shovels and Rope LIVE - Swimmin' Time (bootleg)	search_replace	from Ram's Head Live (MD) on 4/10/24	from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:13.170083	video	pMxUmFwC2Ko	Shovels and Rope LIVE - Crown Victoria (bootleg)	search_replace	song starts at 2:05 from Ram's Head Live (MD) on 4/10/24	song starts at 2:05 from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:14.374511	video	APwJGZsxF4c	Shovels and Rope LIVE - Cavalier (bootleg)	search_replace	from Ram's Head Live (MD) on 4/10/24	from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:15.437540	video	SWN9Nu13wi0	Shovels and Rope LIVE - Love Song from a Dog (bootleg)	search_replace	from Ram's Head Live (MD) on 4/10/24	from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:16.146798	video	W-DGcuB8_co	Al Olender LIVE with Shovels & Rope - Blue Bayou (bootleg)	search_replace	Roy Orbison cover,  set closer with Shovels and Rope from Ram's Head Live (MD) on 4/10/24	Roy Orbison cover,  set closer with Shovels and Rope from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:17.018415	video	O7dkq92FhkM	Shovels and Rope LIVE - Unknown Legend (bootleg)	search_replace	encore Neil Young cover from Ram's Head Live (MD) on 4/10/24	encore Neil Young cover from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:17.722478	video	6lrj8phtKnE	Shovels and Rope LIVE - I Wanna Know About It (bootleg)	search_replace	not postiive on the song title - from Ram's Head Live (MD) on 4/10/24	not postiive on the song title - from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:18.477204	video	MuKB7fId6o8	Shovels and Rope LIVE - Sitting Alone in the Moonlight  (bootleg)	search_replace	first encore song  Bill Munroe cover with Al Olender, from Ram's Head Live (MD) on 4/10/24	first encore song  Bill Munroe cover with Al Olender, from Rams Head Live (MD) on 4/10/24
2026-04-03T00:19:19.432981	video	r-US-zVadF0	Walter Trout  LIVE - Wanna Dance (bootleg)	search_replace	from Ram's Head On Stage (MD) on 9/4/24 @TheWaltertrout	from Rams Head On Stage (MD) on 9/4/24 @TheWaltertrout
2026-04-03T00:19:20.349439	video	Bo57NXH4z8o	Walter Trout  LIVE - Say Goodbye to the Blues (bootleg)	search_replace	tribute to John Mayall from Ram's Head On Stage (MD) on 9/4/24 @TheWaltertrout	tribute to John Mayall from Rams Head On Stage (MD) on 9/4/24 @TheWaltertrout
2026-04-03T00:19:21.536403	video	L-eVkm72pcs	Walter Trout  LIVE - Red Sun (bootleg)	search_replace	from Ram's Head On Stage (MD) on 9/4/24 @TheWaltertrout	from Rams Head On Stage (MD) on 9/4/24 @TheWaltertrout
2026-04-03T00:19:22.772729	video	DJ2mZmhey5M	Southern Avenue LIVE - Control ???  (bootleg)	search_replace	unsure of track title from Ram's Head Live on Stage (MD) on 03/21/25 @SouthernAvenue	unsure of track title from Rams Head Live on Stage (MD) on 03/21/25 @SouthernAvenue
2026-04-03T00:19:23.704496	video	fcXZkLrOvis	Southern Avenue LIVE - Roam?? (bootleg)	search_replace	not sure of track title from Ram's Head Live on Stage (MD) on 03/21/25 @SouthernAvenue	not sure of track title from Rams Head Live on Stage (MD) on 03/21/25 @SouthernAvenue
2026-04-03T00:19:24.533772	video	veS7oOVN3pY	Southern Avenue LIVE - We're Gonna Make It (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/21/25 @SouthernAvenue	from Rams Head Live on Stage (MD) on 03/21/25 @SouthernAvenue
