Show Date	Artist	Playlist Title	Playlist URL	Video Count	Setlist URL Checked	Setlist Order Used	Videos Added
2026-02-23	Billy Gibbons	Billy Gibbons LIVE @ Birchmere (VA) 2/23/26	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJUiDOYiGCbP2dTVU7sEd7h	8	https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html	ok (20 songs)	Billy Gibbons and the BFG's LIVE - Francine (bootleg) | Billy Gibbons and The BFG’s LIVE - Jesus Just Left Chicago (bootleg) | Billy Gibbons and The BFG’s LIVE - Cheap Sunglasses (bootleg) | Billy Gibbons and The BFG’s LIVE - Got Love If You Want It (bootleg) | Billy Gibbons and The BFG’s LIVE - Blue Jean Blues (bootleg) | Billy Gibbons and The BFG’s LIVE - Foxy Lady (bootleg) | Billy Gibbons and The BFG’s LIVE - Brown Sugar (bootleg) | Billy Gibbons and The BFG’s LIVE - Sharp Dressed Man  (bootleg)
2026-03-21	ZZ Ward	ZZ Ward LIVE @ Birchmere (VA) 3/21/26	[dry run — no playlist created]	10	https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html	ok (21 songs)	ZZ Ward LIVE - Dust My Broom (bootleg) | ZZ Ward LIVE - Cannonball (bootleg) | ZZ Ward LIVE - Bag of Bones (bootleg) | ZZ Ward LIVE - Charlie Ain't Home (bootleg) | ZZ Ward LIVE - Grinnin' In Your Face (bootleg) | ZZ Ward LIVE - Sinner's Prayer (bootleg) | ZZ Ward LIVE - Sex & Stardust (bootleg) | ZZ Ward LIVE - Ride (bootleg) | ZZ Ward LIVE - Move Like U Stole It (bootleg) | Jesse Williams Band LIVE - Quit Quiet (bootleg)
2026-03-21	ZZ Ward	ZZ Ward LIVE @ Birchmere (VA) 3/21/26	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIk2rhlv1Qix5WAIv7VS2sh	10	https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html	ok (21 songs)	ZZ Ward LIVE - Dust My Broom (bootleg) | ZZ Ward LIVE - Cannonball (bootleg) | ZZ Ward LIVE - Bag of Bones (bootleg) | ZZ Ward LIVE - Charlie Ain't Home (bootleg) | ZZ Ward LIVE - Grinnin' In Your Face (bootleg) | ZZ Ward LIVE - Sinner's Prayer (bootleg) | ZZ Ward LIVE - Sex & Stardust (bootleg) | ZZ Ward LIVE - Ride (bootleg) | ZZ Ward LIVE - Move Like U Stole It (bootleg) | Jesse Williams Band LIVE - Quit Quiet (bootleg)
2021-07-11	Oliver Wood	Oliver Wood LIVE @ The Patio Stage at Strathmore 7/11/21	[dry run — no playlist created]	2	https://www.setlist.fm/setlist/oliver-wood/2021/the-patio-stage-at-strathmore-north-bethesda-md-2ba73086.html	ok (3 songs)	Oliver Wood LIVE - Postcards from Hell  (bootleg) | Oliver Wood LIVE - One More Day (bootleg)
2022-09-17	Willie Nelson	Willie Nelson LIVE @ Outlaw Music Festival 2022 9/17/22	[dry run — no playlist created]	3	https://www.setlist.fm/setlist/willie-nelson/2022/merriweather-post-pavilion-columbia-md-4bb00396.html	ok (4 songs)	Larkin Poe - I hope you feel stupid (end of Wanted Woman) bootleg | Larkin Poe - Self-Made Man (bootleg, partial) | Larkin Poe - Come on in my Kitchen (bootleg)
2022-11-17	Tab Benoit	Tab Benoit LIVE @ State Theatre (VA) 11/17/22	[dry run — no playlist created]	2	https://www.setlist.fm/setlist/tab-benoit/2022/the-state-theatre-falls-church-va-5bbfafe0.html	ok (10 songs)	Tab Benoit - Muddy Bottom Blues (bootleg) | Dirty Dozen Brass Band - Talkin' bout do it (bootleg)
2022-12-14	Ana Popović	Ana Popović LIVE @ Pearl Street Warehouse (DC) 12/14/22	[dry run — no playlist created]	8	https://www.setlist.fm/setlist/ana-popovi/2022/pearl-street-warehouse-washington-dc-bbc9dae.html	ok (16 songs)	"Ana Popovic ""Till the Wheels Fall Off"" - bootleg | Ana Popovic - New Coat of Paint (bootleg) | Ana Popovic - Hot Southern Night (bootleg) | Ana Popovic - Mo' Better Love (bootleg) | Ana Popovic - How'd You Learn to Shake It Like That (bootleg) | Ana Popovic - We can Change the World (bootleg) | Ana Popovic - Can You Stand the Heat (bootleg) | Carly Harvey LIVE - Heard it Through the Grapevine (bootleg)"
2022-12-31	George Clinton & Parliament-Funkadelic	George Clinton & Parliament-Funkadelic LIVE @ 9:30 Club (DC) 12/31/22	[dry run — no playlist created]	3	https://www.setlist.fm/setlist/george-clinton-and-parliament-funkadelic/2022/930-club-washington-dc-5bbc23c4.html	ok (18 songs)	Parliament Funkadelic - Funkentelechy (bootleg) | Parliament Funkadelic - Auld Lang Syne 2023 (bootleg) | George Clinton steps onstage to hype Blu Eye Extinction (partial, bootleg)
2023-06-28	Ally Venable Band	Ally Venable Band LIVE @ Ram's Head (MD) 6/28/23	[dry run — no playlist created]	2	https://www.setlist.fm/setlist/ally-venable-band/2023/rams-head-on-stage-annapolis-md-2ba7ac96.html	ok (12 songs)	Ally Venable LIVE - Going  Down (bootleg) | Ally Venable LIVE - Broken & Blue (bootleg)
2023-09-02	Oh He Dead	Oh He Dead LIVE @ 9:30 Club (DC) 9/2/23	[dry run — no playlist created]	7	https://www.setlist.fm/setlist/oh-he-dead/2023/930-club-washington-dc-33a21cbd.html	ok (18 songs)	Oh He Dead LIVE - Lightning Drunk (bootleg) | Everyday Everybody LIVE - What You Wanna Do (bootleg) | Oh He Dead LIVE - Show Me Love (bootleg) | Oh He Dead LIVE - #song-title (bootleg) | Oh He Dead LIVE - #song-title (bootleg) | Everyday Everybody LIVE - Freedom (to be me) (bootleg) | Dior Ashley Brown and the Filthy Animals LIVE - Vernacular (bootleg)
