Show Date	Artist	Ticket Cost	Food & Bev	Parking	Merch	Artist Interaction	Show Total	Notes
2026-01-11	Ana Popovic	$65.58	$0.00	$9.45	$0.00	Autograph	$75.03	Dance To The Rhythm Tour; matinee
2026-01-31	Kingsley Flood	$33.67	$0.00	$0.00	$0.00		$33.67	
2026-02-14	Vanessa Collier	$60.06	$0.00	$9.45	$0.00	Autograph	$69.51	4-ticket order split evenly
2026-02-19	Mohini Dey	$48.70	$0.00	$0.00	$0.00	Photo	$48.70	Hat autograph: Mohini Dey
2026-02-21	Matteo Mancuso	$54.11	$0.00	$13.00	$0.00	Photo	$67.11	Route96 Tour
2026-02-23	Billy Gibbons	$450.30	$0.00	$0.00	$0.00	Photo	$450.30	Birthday; VIP Meet & Greet
2026-03-07	Albert Castiglia	$53.36	$0.00	$9.45	$0.00	Photo	$62.81	Matinee; ticket bartered with friend
2026-03-11	Sue Foley	$48.45	$0.00	$13.00	$0.00	Photo	$61.45	
2026-03-18	Taj Farrant	$96.14	$5.00	$9.45	$30.00	Autograph	$140.59	M&G add-on via AXS
2026-03-20	Danielle Nicole	$42.52	$7.00	$13.00	$35.00	Both	$97.52	
2026-03-21	ZZ Ward	$236.90	$13.00	$0.00	$20.00	Both	$269.90	VIP; merch: last 2 LPs + poster + lanyard
2026-03-28	Joanne Shaw Taylor	$120.75	$10.00	$9.45	$0.00	Photo	$140.20	Sold 1 of 2 tickets via AXS resale ($101.75 payout)
2026-03-29	Selwyn Birchwood	$34.39	$24.00	$0.00	$21.00	Both	$79.39	RHBS signed; CD & sticker merch
2026-04-11	Jake Xerxes Fussell	$34.00	$0.00	$7.25	$30.00	Photo	$71.25	t-shirt merch; Sam Amidon support
2026-04-12	Glen Hansard	$49.50	$0.00	$0.00	$30.00	Photo	$79.50	Ticket via IMP gift card $30.50 + cash $19.00; merch: Margaret Glaspy CDs; hat autograph: Margaret Glaspy
2026-04-18	Every Breath You Take	$28.50	$8.00	$0.00	$0.00		$36.50	Impromptu show; Police Cars tribute bill
2026-04-19	Tommy Castro & the Painkillers	$65.74	$12.10	$9.45	$20.00	Both	$107.29	Signed CD
2026-04-20	Ally Venable	$53.36	$10.00	$15.45	$0.00	Both	$78.81	RHBS autograph + signed photo
2026-05-09	Vanessa Collier	$45.40	$22.00	$0.00	$0.00	Both	$67.40	Night Two; hat autograph: Laura Chavez
2026-05-14	The Lone Bellow	$154.90	$32.64	$0.00	$0.00	Both	$187.54	VIP; lanyard + signed 2026 tour poster; w/ Eli Kollman. 1 of 2 tickets to budget (standard GA $64.55).
2026-05-17	Gabe Stillman	$25.00	$12.72	$0.00	$20.00	Photo	$57.72	Cover charge $20 + $5 tip jar. Merch: CD. Deanna Bogart (Tommy Castro's wife) on sax; power trio otherwise.
2026-05-19	Eric Johanson	$15.00	$0.00	$0.00	$0.00		$15.00	Ticket sold to Ed Warburton for $40; did not attend
2026-06-04	Jackie Venson	$31.50	$6.50	$0.00	$0.00	Both	$38.00	New Spire Arts Frederick. Signed poster + t-shirt re-sign. 1 of 2 tickets to budget.
2026-06-05	Anthony Gomes	$43.85	$0.00	$0.00	$0.00		$43.85	Praise the Loud World Tour; Tally Ho Theater Leesburg VA; did not attend due to passing out in the ticket line. Got an autographed CD courtesy Lary. Order #MK8QKKLJQ
2026-06-06	Gary Clark Jr.	$120.00	$0.00	$0.00	$0.00		$120.00	w/ Kingfish Ingram. Wolf Trap. Attended with Lary and his brother, Matt and Tijan Brown; Ed and Bob also in house.
2026-06-09	John Prine Celebration	$595.56	$7.71	$0.00	$44.00		$647.27	Wolf Trap Filene Center pit. Emmylou Harris, Margo Price, Allison Russell, Patty Griffin, I'm With Her, Lucius. Aoife O'Donovan did not perform.
2026-06-11	Orianthi	$101.80	$30.00	$9.45	$0.00	Autograph	$141.25	Hat signed from stage; pick from Voodoo Child cover. Rams Head On Stage.
2026-06-12	Greensky Bluegrass	$45.00	$0.00	$0.00	$0.00		$45.00	9:30 Club. Left early around 9pm. All Good Now Pre Party.
