Date	Share Link	Caption / Artist Info
Oct 16, 2021, 10:31:28 PM	https://photos.redhat-bootlegs.net/share/dNiprahYJTh07RQVRlvQeI6cRu9cVpICWFvUVQdkScKdXodR72fz9k6Mjq9DWH-zSmk	Live show VIP experience in the time of COVID. Such sweet sisters, making great sounds together. 10/16/2021 at The Recher. I am a big Larkin Poe fanboy...
Apr 4, 2022, 8:15:29 PM	https://photos.redhat-bootlegs.net/share/OeMjBioil-DVm7F6I1hr3s8paLldsyyJJWGMy2rcqv7d6DPJyk_a9a49Vy18n4rWEJ0	oh nothing. just me and then-22-year-old, now Grammy-winning Best Contemporary Blues Album artist Kingfish Ingram. The dude can flat out guitar... | November 18, 2021 at Sixth & I Synagogue
Dec 14, 2022	https://photos.redhat-bootlegs.net/share/a2qtiyEBWz5qv4YOAuShnZ_w27XHiMzrLBH8M6yu6c67o4XIV9RGBpg5SVF-5WAnLFo	Ana Popovic @ Pearl Street Warehose 2022-12-14
Mar 9, 2023, 11:53:49 PM	https://photos.redhat-bootlegs.net/share/wVeFUGV3dU_X0_yC-HmgLZiCh_gDHKl1wlfEND1TkOOALYbjSjCY565tu0_jjro8lmw	Live music binge  - this time I got a photo with the band Larkin Poe at 9:30 Club 03/09/2023
Jul 29, 2023, 2:44:46 PM	https://photos.redhat-bootlegs.net/share/SAfE0D6Xc5Jgx1x7ijmDwF_BHGWitm1mUt1u6dq_HmHKOiygflq7dJZ6Z6CbGUTl1-w	Ally Venable at Rams Head On Stage 6/28/23
Jul 29, 2023, 2:44:46 PM	https://photos.redhat-bootlegs.net/share/FfGUyzhffsIUyzz8u1cychRtmZGU6rjY5aRukhxZpxhAFSppftI0n9MuS514Dntpo-0	Ana Popović at Hamilton Live 7/28/23
Jul 29, 2023, 2:44:49 PM	https://photos.redhat-bootlegs.net/share/nZ-NSgZtlbzWmkqfQO1UT29LEq2lLlxAGACpaLu-y53q99mP1iabQaXasaMzNb08g-U	Eric Gales at Hamilton Live 5/17/23
Aug 5, 2023, 9:33:49 PM	https://photos.redhat-bootlegs.net/share/BUwNoqMG3PdxUqYr4K6X9HQKS0jn4rwPw0DbGUgUscGWUQdG-m9RQ2xTG6yVD7cNmZs	Bob Alcorn of Malibu Wanderers (now Wildflower Dreams)  | at Celtic House 8/4/23
Aug 19, 2023, 1:28:37 AM	https://photos.redhat-bootlegs.net/share/71ExWIfjhxfUN_GIkkD9sgMe_bXplKXdEcHF9JuOm1NpAaJoGt54qIgpGf7B5z7iN08	King Solomon Hicks - opening for Jimmy Vaughan at State Theatre, Falls Church
Sep 8, 2023, 9:53:26 PM	https://photos.redhat-bootlegs.net/share/xNKGwrtwcdoQg_XF-pO7c2aluknncXDQ6WtdsluEJ5Ioms8VoWbysHYsUmyb1sPTsvc	ZZ Ward @ 9:30 Club 9/8/23
