source_row	google_link	google_desc	immich_candidates	immich_desc	match_id	immich_link	confidence	signals	notes
artist-photos.tsv:Live show VIP experience in the time of  ; history/2021.tsv:2021-10-16 Larkin Poe	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOmIusKibvQam_6dsFcyanAiP7EqcWL_UOTgz6R?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Live show VIP experience in the time of COVID. Such sweet sisters, making great sounds together. 10/16/2021 at The Recher. I am a big Larkin Poe fanboy... / Larkin Poe at The Recher, Towson, MD, USA	a95cdfa2-b16c-419e-997d-c327a4cea6f8		a95cdfa2-b16c-419e-997d-c327a4cea6f8	https://photos.redhat-bootlegs.net/share/dNiprahYJTh07RQVRlvQeI6cRu9cVpICWFvUVQdkScKdXodR72fz9k6Mjq9DWH-zSmk	3	date:2021-10-16|caption:2021-10-16	
artist-photos.tsv:oh nothing. just me and then-22-year-old ; history/2021.tsv:2021-11-18 Christone 'Kingfish' Ingram	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMN2e9yG2i2Iu5raT9DDzQCzz3TLn1E-_G4sdm2?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	oh nothing. just me and then-22-year-old, now Grammy-winning Best Contemporary Blues Album artist Kingfish Ingram. The dude can flat out guitar... | November 18, 2021 at Sixth & I Synagogue / Christone 'Kingfish' Ingram at Sixth & I Historic Synagogue, Washington, DC, USA	7e14c4e1-e05d-4ad4-af9a-2ef7a143a200		7e14c4e1-e05d-4ad4-af9a-2ef7a143a200	https://photos.redhat-bootlegs.net/share/OeMjBioil-DVm7F6I1hr3s8paLldsyyJJWGMy2rcqv7d6DPJyk_a9a49Vy18n4rWEJ0	3		
artist-photos.tsv:Ana Popovic @ Pearl Street Warehose 2022 ; history/2022.tsv:2022-12-14 Ana Popović	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMm2ZueNI2o0LLMJYsUEZfTlUuAQanesuKlOcph?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ana Popovic @ Pearl Street Warehose 2022-12-14 / Ana Popović at Pearl Street Warehouse, Washington, DC, USA	84d086d5-03f8-425a-8f30-785bf82f33eb		84d086d5-03f8-425a-8f30-785bf82f33eb	https://photos.redhat-bootlegs.net/share/a2qtiyEBWz5qv4YOAuShnZ_w27XHiMzrLBH8M6yu6c67o4XIV9RGBpg5SVF-5WAnLFo	3	caption:2022-12-14	
artist-photos.tsv:Live music binge  - this time I got a ph ; history/2023.tsv:2023-03-09 Larkin Poe	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNTILxPZR8qR-ZDXqCPQLiraXzcwcFzDfomXOLe?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Live music binge  - this time I got a photo with the band Larkin Poe at 9:30 Club 03/09/2023 / Larkin Poe at 9:30 Club, Washington, DC, USA	f3a39061-a475-4292-8a4b-4357d1c087f5		f3a39061-a475-4292-8a4b-4357d1c087f5	https://photos.redhat-bootlegs.net/share/wVeFUGV3dU_X0_yC-HmgLZiCh_gDHKl1wlfEND1TkOOALYbjSjCY565tu0_jjro8lmw	3	date:2023-03-09|caption:2023-03-09	
artist-photos.tsv:Ally Venable at Rams Head On Stage 6/28/ ; history/2023.tsv:2023-06-28 Ally Venable Band	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMjDkGL5VWY7Z-yi2UNwwOdBBdh2kQHU7u-Kh0z?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ally Venable at Rams Head On Stage 6/28/23 / Ally Venable Band at Rams Head On Stage, Annapolis, MD, USA	d9c23dfc-87c8-4621-be2e-01db74bda9a7		d9c23dfc-87c8-4621-be2e-01db74bda9a7	https://photos.redhat-bootlegs.net/share/SAfE0D6Xc5Jgx1x7ijmDwF_BHGWitm1mUt1u6dq_HmHKOiygflq7dJZ6Z6CbGUTl1-w	3	caption:2023-06-28	
artist-photos.tsv:Ana Popović at Hamilton Live 7/28/23 ; history/2023.tsv:2023-07-27 Ana Popović	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPvRHbZ9fV3XpOafkLCpwwSHio-Tt48p3-ndS00?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ana Popović at Hamilton Live 7/28/23 / Ana Popović at The Hamilton Live, Washington, DC, USA	e0374e48-3c66-4ad0-a374-5b04dfadd960		e0374e48-3c66-4ad0-a374-5b04dfadd960	https://photos.redhat-bootlegs.net/share/FfGUyzhffsIUyzz8u1cychRtmZGU6rjY5aRukhxZpxhAFSppftI0n9MuS514Dntpo-0	3	caption:2023-07-28|face	
artist-photos.tsv:Eric Gales at Hamilton Live 5/17/23 ; history/2023.tsv:2023-05-17 Eric Gales	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOA9IzWgkg0kACtD3BvO44XBGISSd07V_AzKHMp?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Eric Gales at Hamilton Live 5/17/23 / Eric Gales at The Hamilton Live, Washington, DC, USA	2ad1f97e-6850-4629-b13d-df8da46b75ac		2ad1f97e-6850-4629-b13d-df8da46b75ac	https://photos.redhat-bootlegs.net/share/nZ-NSgZtlbzWmkqfQO1UT29LEq2lLlxAGACpaLu-y53q99mP1iabQaXasaMzNb08g-U	3	caption:2023-05-17	
artist-photos.tsv:Bob Alcorn of Malibu Wanderers (now Wild	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPgvN1EJILTZ666aRjDL-wdR2RF19sJKqZ_900i?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Bob Alcorn of Malibu Wanderers (now Wildflower Dreams)  | at Celtic House 8/4/23	8eb06d34-ec08-43ba-9b3d-b785fb65d96b		8eb06d34-ec08-43ba-9b3d-b785fb65d96b	https://photos.redhat-bootlegs.net/share/BUwNoqMG3PdxUqYr4K6X9HQKS0jn4rwPw0DbGUgUscGWUQdG-m9RQ2xTG6yVD7cNmZs	3	caption:2023-08-04	
artist-photos.tsv:King Solomon Hicks - opening for Jimmy V ; history/2023.tsv:2023-08-18 Jimmie Vaughan	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMeYCKGb-Fn5H3ocF44ELflVWGorLgAan61LHOD?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	King Solomon Hicks - opening for Jimmy Vaughan at State Theatre, Falls Church / Jimmie Vaughan at The State Theatre, Falls Church, VA, USA	f2f05843-e0db-4994-8e1d-f712c76fa5af		f2f05843-e0db-4994-8e1d-f712c76fa5af	https://photos.redhat-bootlegs.net/share/71ExWIfjhxfUN_GIkkD9sgMe_bXplKXdEcHF9JuOm1NpAaJoGt54qIgpGf7B5z7iN08	3		
artist-photos.tsv:ZZ Ward @ 9:30 Club 9/8/23 ; history/2023.tsv:2023-09-08 ZZ Ward	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPyfCTY-IJJyASz8Q9AS-9vmX4e_FRlzNFEIPwl?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	ZZ Ward @ 9:30 Club 9/8/23 / ZZ Ward at 9:30 Club, Washington, DC, USA	f8a8f081-fbb7-4ac6-9774-f510d0a8315c		f8a8f081-fbb7-4ac6-9774-f510d0a8315c	https://photos.redhat-bootlegs.net/share/xNKGwrtwcdoQg_XF-pO7c2aluknncXDQ6WtdsluEJ5Ioms8VoWbysHYsUmyb1sPTsvc	3	date:2023-09-08|face:date	
