link_key	caption	gp_thumb
AF1QipM-A8jLDp-uXdUT4pikygVVStE5rdNIVCNxAa7X	Trevor Lewington of Enter the Haggis @ The Barns at Wolf Trap 2/26/25 my birthday, show #2 of the Exit The Haggis farewell tour	https://lh3.googleusercontent.com/pw/AP1GczO5w-0gwboLN3uo5H8W6k2x8UGChpJdpDo1_o5hA_qjCPOPpSYSzQe4VvYsXpyR2LTsFCt8c_AAgDYr3pBYmVbNG2eeVgfFhIMg8PYF89MzpOgGksY
AF1QipM0dZWiYz6LlM-izqhUgapc7wffBfJ3vc3mRwrZ	Jax Hollow ~ Taylor Tuke @ Ram's Head Live On Stage 7/17/25	https://lh3.googleusercontent.com/pw/AP1GczNj_gjnUu8u6mZ80pZUSw1CNPBj5cBpXzC4pll4-5HsGOcQPtiMXfgIqeYrTCCuMdP28-FRKYM1_cBHVBENtg8_5ClYij8wMGxpq79I_4Dw4Yjz1qM
AF1QipMBSojN8h9_a9v6DCdQGLkBJ9VK6eccsc5c0hDzH-kfgy4HMY_DgP_4GMDfegc8lA		https://lh3.googleusercontent.com/pw/AP1GczMcy7S9OVoUpXg4sONrYkoXVYyI5xcRrP4MB_6-ceW3mQMRzNX7Us3ITWa_ZZbmf7n1SzjFQoTyCXiNHtZE4rzTavICKTf653jRpFTZ5BAeHmY4B40
AF1QipMEu9ZGcvaBOq0ZLw_pFNvv6xhJPMX6bGaEOz-y	Albert Cummings, Jammin Java 10/26/23	https://lh3.googleusercontent.com/pw/AP1GczNMlNKPrAlmpIzmXU5dRM77j2Fc-iAUr60ltgNctz2XqYLAtExAvPFFwmLLFluUvPA67KLQAiYK0SbvmROgJ7_3sOoFC-fOOxhCSzEKLthvyjZ_MzY
AF1QipMJO8a6tB6wyNcJqrfsNfODcbqr3GaKyBT6BEz3	Vanessa Collier @ Strathmore AMP 10/8/23	https://lh3.googleusercontent.com/pw/AP1GczPfomtLSi5EinTRXrRkIO2y65QV-smHKNN4sn7XqAgKmjpK7rL5HRGvNNYQD6GW_3I5QTNWhsbIdr51SMJWatzA91S2b_MGVsFk3iabeZEYHqFNmgQ
AF1QipML6kOgBnmP4A-grEM2Oj5ODJUb2dZ7Poz5uhwe	Mikaela Davis (harpist) Pearl Street Warehouse 6/25/24	https://lh3.googleusercontent.com/pw/AP1GczN9DLsfoVAWcEJSpXYiLMftazPQSbkp4zEtnxKUztTRlWiVeXO8GjPw349lrWtb-uHHTVGWwxj-ITXJwRzA4BGGRA-9xgxzg7Y5mA1wPe8ydp7QiGg
AF1QipMLDbfirRLvWGnfAHJV9jlOj0FeAuaGluqCRB4C	the incomparable Jon Batiste @ The Anthem 10/31/25	https://lh3.googleusercontent.com/pw/AP1GczN95sRs2a1lSyoOtdpwgbWEamJi1tzazoaCt_ubTIVz6O65gYheUn7s-KoHCeALH5hoZNfAjyFBsGvUVi4VziaHVz-7ebfe0jcHB1Gh2xE4MgmB_PU
AF1QipMMVVjK76QaAxnXBdciBAx1QlUmeUQydPKlpw_C	Selwyn Birchwood. Collective Encore 2/25/24	https://lh3.googleusercontent.com/pw/AP1GczOYA7PduI6ITS0IE09R2trQwz1HA9E6BrKskAUpzri6Dqrs0ByaiCCqAEpao1ImJnPkeo02hOry7s0IeQKbpuwo9RCjw_juZRRN0CGe-duwTtrXLVg
AF1QipMN2e9yG2i2Iu5raT9DDzQCzz3TLn1E-_G4sdm2	oh nothing. just me and then-22-year-old, now Grammy-winning Best Contemporary Blues Album artist Kingfish Ingram. The dude can flat out guitar... / November 18, 2021 at Sixth ~ I Synagogue	https://lh3.googleusercontent.com/pw/AP1GczOeXWmPMPZ21_5DIzXgHTvpYLyFakClbMclzA9GM9RNEsy0eyKkB432uQN8N5pgaC4UiICn7ltOL_MRQU8DH8rGqCMz8oLYPV2auZrEM_NdmI50bu4
AF1QipMOlsHS8RNJxItO27zf-ZQ0_mxIA0uw9nsCJChvDfRrStJaqbEc-KLqgMTRXX3fmQ		https://lh3.googleusercontent.com/pw/AP1GczOnUacIiracYWiRrxrDY7nHNTzsq2HKGSP3W6PYDZhtGSv1g2pZj7Zmb2MIR1MbPqq8wr4ifDAhIhe6hyFPAXJMCkqdp8TzMKtIN6JLxu2Wio3XBVY
