Date	Day	Time	Event/Venue	Venue	City	State
06/19/2026	Friday	6:30PM	Ottawa Jazz Festival	Confederation Park - Main Stage	Ottawa	Canada
06/25/2026	Thursday	7:00PM	Saguenay Jazz Festival	Saguenay Jazz Festival	Chicoutimi	Canada
06/26/2026	Friday		DEV FEST 2026 Cornwall	DEV Hotel & Conference Centre Waterfront	Cornwall	Canada
07/03/2026	Friday		Angelique Francis	Waterfront Blues Festival - Tom McCall Waterfront Park	Portland	OR
07/04/2026	Saturday	7:00PM	Angelique Francis @ The Queens Nanaimo	The Queens	Nanaimo	Canada
07/07/2026	Tuesday	7:00PM	Angelique Francis @ The Elk Hall Osoyoos	Elk Hall	Osoyoos	Canada
07/08/2026	Wednesday	8:00PM	Angelique Francis @ The Hub on Martin	The Hub on Martin	Penticton	Canada
07/10/2026	Friday		Starbelly Jam Music Festival	Starbelly Jam Music Festival	Crawford Bay	Canada
07/12/2026	Sunday	2:00PM	Harrison Music Festival	Harrison Hot Springs	Harrison Hot Springs	Canada
08/07/2026	Friday	7:45PM	Festival International Blues Donnacona	Main stage under the big top	Donnacona	Canada
08/14/2026	Friday		White Mountain Boogie and Blues	White Mountain Boogie and Blues	Thornton	NH
