Date	Day	Time	Event/Venue	Venue	City	State
Jul 3, 2026	Friday		Waterfront Blues Festival	Tom McCall Waterfront Park	Portland	OR
Jul 4, 2026	Saturday	7:00 PM	Angelique Francis @ The Queens Nanaimo	The Queens	Nanaimo	Canada
Jul 7, 2026	Tuesday	7:00 PM	Angelique Francis @ The Elk Hall Osoyoos	Elk Hall	Osoyoos	Canada
Jul 8, 2026	Wednesday	8:00 PM	Angelique Francis @ The Hub on Martin	The Hub on Martin	Penticton	Canada
Jul 10, 2026	Friday		Starbelly Jam Music Festival	Starbelly Jam Music Festival	Crawford Bay	Canada
Jul 12, 2026	Sunday	2:00 PM	Harrison Music Festival	Harrison Hot Springs	Harrison Hot Springs	Canada
Jul 17, 2026	Friday		Dawson City Music Festival 2026	Dawson City Music Festival	Dawson City	Canada
Jul 18, 2026	Saturday		Dawson City Music Festival 2026	Dawson City Music Festival	Dawson City	Canada
Jul 19, 2026	Sunday		Dawson City Music Festival 2026	Dawson City Music Festival	Dawson City	Canada
Jul 27, 2026	Monday	6:30 PM	Union Summer	TD Union Station	Toronto	Canada
Aug 1, 2026	Saturday	9:00 PM	Ottawa Chamberfest	Great Canadian Theatre Company	Ottawa	Canada
Aug 7, 2026	Friday	7:45 PM	Festival International Blues Donnacona	Main stage under the big top	Donnacona	Canada
Aug 14, 2026	Friday		White Mountain Boogie and Blues	White Mountain	Thornton	NH
Aug 22, 2026	Saturday	8:30 PM	Porthope Jazzfest	The Ganaraska Hotel	Port Hope	Canada
Aug 26, 2026	Wednesday		Yard Vibes 2026 'Music Without Borders'	Golden Hill	Vankleek Hill	Canada
Sep 2, 2026	Wednesday	7:00 PM	Akoustik Sessions, Summer Music Sessions	St. Charles Market	Vanier	Canada
Sep 5, 2026	Saturday	7:00 PM	Angelique Francis @ Redwood Theatre	Redwood Theatre	Toronto	Canada
Sep 10, 2026	Thursday	4:45 PM	Cabaret d'Albert - Launch Show	Cabaret d'Albert	Salaberry-de-Valleyfield	Canada
Sep 10, 2026	Thursday	8:00 PM	Théâtre Lionel-Groulx - Launch Show	Théâtre Lionel-Groulx	Sainte-Thérèse	Canada
Sep 16, 2026	Wednesday		Harvest Music Festival	Harvest Music Festival	Fredericton	Canada
