Date	Day	Time	Event/Venue	Venue	City	State
Jul 4, 2026	Saturday		Donaubühne	Donaubühne	Tulln	Austria
Jul 6, 2026	Monday		Posthalle	Posthalle	Würzburg	Germany
Jul 8, 2026	Wednesday		Jahrhunderthalle	Jahrhunderthalle	Frankfurt Am Main	Germany
Jul 10, 2026	Friday		Parkbühne (Clara Zetkin Park)	Parkbühne (Clara Zetkin Park)	Leipzig	Germany
Jul 14, 2026	Tuesday		COS Torwar	COS Torwar	Warszawa	Poland
Jul 16, 2026	Thursday		Veszprémfest 2026	Veszprémfest 2026	Veszprém	Hungary
Jul 18, 2026	Saturday		"Yunak" Stadium	"Yunak" Stadium	Sofia	Bulgaria
Jul 21, 2026	Tuesday		Schwabenhalle Augsburg	Schwabenhalle Augsburg	Augsburg	Germany
Jul 23, 2026	Thursday		Konzertfabrik Z7 & Mini Z7	Konzertfabrik Z7 & Mini Z7	Pratteln	Switzerland
Jul 25, 2026	Saturday		Winterbach Zeltspektakel	Winterbach Zeltspektakel	Winterbach	Germany
Jul 27, 2026	Monday		Stadthalle	Stadthalle	Rostock	Germany
Jul 29, 2026	Wednesday		Seebühne Bremen	Seebühne Bremen	Bremen	Germany
Jul 31, 2026	Friday		Timișoara City Celebration (Free Event)	Timișoara City Celebration	Timișoara	Romania
Sep 10, 2026	Thursday		MGM Northfield Park - Center Stage	MGM Northfield Park - Center Stage	Northfield	OH
Sep 12, 2026	Saturday		Taft Theatre	Taft Theatre	Cincinnati	OH
Sep 15, 2026	Tuesday		Michigan Theater	Michigan Theater	Ann Arbor	MI
Sep 17, 2026	Thursday		Brown County Music Center	Brown County Music Center	Nashville	IN
Sep 19, 2026	Saturday		Riviera Theatre	Riviera Theatre	Chicago	IL
Sep 22, 2026	Tuesday		The Factory	The Factory	St. Louis	MO
Sep 24, 2026	Thursday		Orpheum Theater	Orpheum Theater	Madison	WI
Sep 26, 2026	Saturday		Palace Theatre	Palace Theatre	St. Paul	MN
Sep 29, 2026	Tuesday		Paramount Theatre	Paramount Theatre	Denver	CO
Oct 1, 2026	Thursday		Mesa Arts Center	Mesa Arts Center	Mesa	AZ
Nov 4, 2026	Wednesday		Helsingin Jäähalli	Helsingin Jäähalli	Helsinki	Finland
Nov 7, 2026	Saturday		B-K	B-K	Stockholm	Sweden
Nov 9, 2026	Monday		Sentrum Scene	Sentrum Scene	Oslo	Norway
Nov 11, 2026	Wednesday		Fiskepiren (Sold Out)	Fiskepiren	Stavanger	Norway
Nov 13, 2026	Friday		USF Verftet	USF Verftet	Bergen	Norway
Nov 16, 2026	Monday		Falkoner Salen	Falkoner Salen	Frederiksberg	Denmark
Nov 18, 2026	Wednesday		Musikhuset Aarhus	Musikhuset Aarhus	Århus	Denmark
Nov 21, 2026	Saturday		Kuppelsaal Im HCC	Kuppelsaal Im HCC	Hannover	Germany
Nov 23, 2026	Monday		Leverkusener Jazztage	Leverkusener Jazztage	Leverkusen	Germany
Nov 25, 2026	Wednesday		Lokschuppen Dillingen	Lokschuppen Dillingen	Dillingen/saar	Germany
Nov 27, 2026	Friday		Halle Münsterland	Halle Münsterland	Münster	Germany
Nov 29, 2026	Sunday		L'Olympia	L'Olympia	Paris	France
Dec 1, 2026	Tuesday		AFAS Live (Sold Out)	AFAS Live	Amsterdam	Netherlands
Dec 4, 2026	Friday		AFAS Live	AFAS Live	Amsterdam	Netherlands
Feb 23, 2027	Tuesday		Kursaal Oostende	Kursaal Oostende	Ostend	Belgium
Feb 25, 2027	Thursday		Royal Circus	Royal Circus	Brussels	Belgium
Feb 27, 2027	Saturday		Stadthalle Kassel	Stadthalle Kassel	Kassel	Germany
Mar 2, 2027	Tuesday		Prague Congress Centre	Prague Congress Centre	Prague	Czechia
Mar 4, 2027	Thursday		PMC	PMC	Strasbourg	France
Mar 6, 2027	Saturday		Zénith	Zénith	Caen	France
Mar 8, 2027	Monday		Le LAPS	Le LAPS	Nantes	France
Mar 11, 2027	Thursday		Le Grand Rex	Le Grand Rex	Paris	France
Mar 13, 2027	Saturday		Maison De La Culture	Maison De La Culture	Clermont-Ferrand	France
Mar 15, 2027	Monday		L'Arcadium	L'Arcadium	Annecy	France
Mar 17, 2027	Wednesday		Palais Nikaïa	Palais Nikaïa	Nice	France
Mar 20, 2027	Saturday		The Hall	The Hall	Zurich	Switzerland
Mar 22, 2027	Monday		Das Stadtwerk.Donau-Arena	Das Stadtwerk.Donau-Arena	Regensburg	Germany
Mar 25, 2027	Thursday		Aula Magna	Aula Magna	Lisbon	Portugal
