Date	Day	Time	Event/Venue	Venue	City	State
Jul 10, 2026	Friday	9:30 PM	Blues On Whyte	Blues On Whyte	Edmonton, AB	Canada
Jul 11, 2026	Saturday	7:00 PM	Pembina River Nights 2026	Pembina River Nights 2026	Evansburg, AB	Canada
Jul 16, 2026	Thursday	7:00 PM	The Shakedown	The Shakedown	Bellingham	WA
Jul 17, 2026	Friday	7:00 PM	Winthrop Rhythm & Blues Festival 2026	Winthrop Rhythm & Blues Festival 2026	Winthrop	WA
Jul 18, 2026	Saturday	7:00 PM	The Jack London Revue	The Jack London Revue	Portland	OR
Jul 19, 2026	Sunday	7:00 PM	Silver Moon Brewing	Silver Moon Brewing	Bend	OR
Jul 21, 2026	Tuesday	7:00 PM	Music on the Half Shell	Music on the Half Shell	Roseburg	OR
Jul 22, 2026	Wednesday	7:00 PM	The Axe & Fiddle Public House	The Axe & Fiddle Public House	Cottage Grove	OR
Jul 23, 2026	Thursday	7:00 PM	Elks Temple - Spanish Ballroom	Elks Temple - Spanish Ballroom	Tacoma	WA
Jul 31, 2026	Friday	6:30 PM	Calgary Blues Festival 2026	Calgary Blues Festival 2026	Calgary, AB	Canada
Aug 8, 2026	Saturday	4:00 PM	Sp'akw'us Feather Shakedown	Sp'akw'us Feather Shakedown	Squamish, BC	Canada
Aug 29, 2026	Saturday	6:30 PM	Wild Salmon Blues	Wild Salmon Blues	Qualicum Beach, BC	Canada
Sep 8, 2026	Tuesday	7:00 PM	The Cluny 2 (w/ Ally Venable Band)	The Cluny 2	Newcastle Upon Tyne	United Kingdom
Sep 9, 2026	Wednesday	7:00 PM	The Crescent Community Venue (w/ Ally Venable Band)	The Crescent Community Venue	York	United Kingdom
Sep 10, 2026	Thursday	7:00 PM	100 Club (w/ Ally Venable Band)	100 Club	London	United Kingdom
Sep 11, 2026	Friday	7:00 PM	Rescue Rooms (w/ Ally Venable Band)	Rescue Rooms	Nottingham	United Kingdom
Sep 12, 2026	Saturday	7:00 PM	The Waterfront (w/ Ally Venable Band)	The Waterfront	Norwich	United Kingdom
Sep 13, 2026	Sunday	7:00 PM	The Deaf Institute (w/ Ally Venable Band)	The Deaf Institute	Manchester	United Kingdom
Sep 15, 2026	Tuesday	7:00 PM	Stereo (w/ Ally Venable Band)	Stereo	Glasgow	United Kingdom
Sep 16, 2026	Wednesday	7:00 PM	The Exchange, Bristol (w/ Ally Venable Band)	The Exchange, Bristol	Bristol	United Kingdom
Sep 17, 2026	Thursday	7:00 PM	The Old Brewery Store (w/ Ally Venable Band)	The Old Brewery Store	Faversham	United Kingdom
Oct 1, 2026	Thursday	7:00 PM	Pacific Contact Showcase 2026	Pacific Contact Showcase 2026	Nanaimo, BC	Canada
Oct 8, 2026	Thursday	7:00 PM	The Baby G	The Baby G	Toronto, ON	Canada
Oct 9, 2026	Friday	7:00 PM	Sonic Hall	Sonic Hall	Guelph, ON	Canada
Oct 10, 2026	Saturday	7:00 PM	Mills Hardware	Mills Hardware	Hamilton, ON	Canada
