Date	Day	Time	Event/Venue	Venue	City	State
Jul 5, 2026	Sunday		Corte Madera Summer Festival	Corte Madera Summer Festival	Corte Madera	CA
Jul 10, 2026	Friday		Ottawa Bluesfest	Ottawa Bluesfest	Ottawa, ON	Canada
Jul 11-12, 2026	Sat-Sun		Winnipeg Folk Festival	Winnipeg Folk Festival	Winnipeg, MB	Canada
Jul 16-19, 2026	Thu-Sun		Redwood Ramble Festival	Redwood Ramble Festival	Navarro	CA
Jul 26, 2026	Sunday		Mitchell Park Bowl	Mitchell Park Bowl	Palo Alto	CA
Jul 28, 2026	Tuesday		Yoshi's	Yoshi's	Oakland	CA
Aug 2, 2026	Sunday		Canmore Folk Festival	Canmore Folk Festival	Canmore	Canada
Aug 9, 2026	Sunday		Gravenstein Apple Fair	Gravenstein Apple Fair	Sebastopol	CA
Aug 27, 2026	Thursday		Yoshi's	Yoshi's	Oakland	CA
Aug 28, 2026	Friday		Sweetwater Music Hall (Supporting Duane Betts & Palmetto Motel)	Sweetwater Music Hall	Mill Valley	CA
Aug 29, 2026	Saturday		Sweetwater Music Hall (Supporting Duane Betts & Palmetto Motel)	Sweetwater Music Hall	Mill Valley	CA
Sep 15-19, 2026	Tue-Sat		Americana Music Fest	Americana Music Fest	Nashville	TN
