Date	Day	Time	Event/Venue	Venue	City	State
Jul 3, 2026	Friday	11:30 PM	Cognac Blues Passions 2026	Public Garden	Cognac	France
Jul 22, 2026	Wednesday	9:00 PM	Nikki Hill @ Piazza Europa	Piazza Europa	La Spezia	Italy
Jul 24, 2026	Friday	8:00 PM	Nikki Hill @ G Livelab	G Livelab	Tampere	Finland
Jul 25, 2026	Saturday	8:00 PM	Nikki Hill @ Fuusio	Fuusio	Turku	Finland
Jul 28, 2026	Tuesday	7:30 PM	Nikki Hill @ Kulttuuritehdas Korjaamo	Kulttuuritehdas Korjaamo	Helsinki	Finland
Jul 29, 2026	Wednesday	7:00 PM	Nikki Hill @ Kirjurinluoto Arena	Kirjurinluoto Arena	Pori	Finland
Jul 31, 2026	Friday	6:00 PM	Wentusfest 2026	Villa Skola	Kokkola	Finland
Aug 2, 2026	Sunday	8:30 PM	Megève Blues Festival 2026	Pré de Saint-Amour	Megève	France
Aug 13, 2026	Thursday	6:00 PM	Nikki Hill @ Pfiffner Pioneer Park	Pfiffner Pioneer Park	Stevens Point	WI
Aug 16, 2026	Sunday	7:00 PM	Tip Top Deluxe	Tip Top Deluxe Bar & Grill	Grand Rapids	MI
Aug 22, 2026	Saturday	4:00 PM	Blues In The Ballpark 2026	Port Arthur Stadium	Thunder Bay	Canada
Mar 15, 2027	Monday	7:00 PM	Keeping the Blues Alive at Sea 2027	Terminal D - Port of Miami	Miami	FL
Apr 9, 2027	Friday	7:00 PM	Nikki Hill @ Miramar Beach	Miramar Beach	Miramar Beach	FL
