Artist	Date	Day	Time	Event/Venue	Venue	City	State
Nikki Hill	Aug 2, 2026	Sunday	8:30 PM	Megève Blues Festival 2026	Pré de Saint-Amour	Megève	France
Nikki Hill	Aug 13, 2026	Thursday	6:00 PM	Nikki Hill @ Pfiffner Pioneer Park	Pfiffner Pioneer Park	Stevens Point	WI
Nikki Hill	Aug 16, 2026	Sunday	7:00 PM	Tip Top Deluxe	Tip Top Deluxe Bar & Grill	Grand Rapids	MI
Nikki Hill	Aug 22, 2026	Saturday	4:00 PM	Blues In The Ballpark 2026	Port Arthur Stadium	Thunder Bay	ON
Nikki Hill	Mar 15, 2027	Monday	7:00 PM	Keeping the Blues Alive at Sea 2027	Terminal D - Port of Miami	Miami	FL
Nikki Hill	Apr 9, 2027	Friday	7:00 PM	Nikki Hill @ Miramar Beach	Miramar Beach	Miramar Beach	FL
Angelique Francis	Aug 26, 2026	Wednesday		YARD VIBES 2026 'Music Without Borders' - Angelique Francis Quartet	Golden Hill	Vankleek Hill	ON
Garret T. Willie	Aug 8, 2026	Saturday	4:00 PM	Sp'akw'us Feather Shakedown	Sp'akw'us Feather Shakedown	Squamish	Canada
Garret T. Willie	Aug 29, 2026	Saturday	6:30 PM	Wild Salmon Blues	Wild Salmon Blues	Qualicum Beach	Canada
Garret T. Willie	Sep 8, 2026	Tuesday	7:00 PM	w/ Ally Venable Band	The Cluny 2	Newcastle Upon Tyne	United Kingdom
Garret T. Willie	Sep 9, 2026	Wednesday	7:00 PM	w/ Ally Venable Band	The Crescent Community Venue	York	United Kingdom
Garret T. Willie	Sep 10, 2026	Thursday	7:00 PM	w/ Ally Venable Band	100 Club	London	United Kingdom
Garret T. Willie	Sep 11, 2026	Friday	7:00 PM	w/ Ally Venable Band	Rescue Rooms	Nottingham	United Kingdom
Garret T. Willie	Sep 12, 2026	Saturday	7:00 PM	w/ Ally Venable Band	The Waterfront	Norwich	United Kingdom
Garret T. Willie	Sep 13, 2026	Sunday	7:00 PM	w/ Ally Venable Band	The Deaf Institute	Manchester	United Kingdom
Garret T. Willie	Sep 15, 2026	Tuesday	7:00 PM	w/ Ally Venable Band	Stereo	Glasgow	United Kingdom
Garret T. Willie	Sep 16, 2026	Wednesday	7:00 PM	w/ Ally Venable Band	The Exchange, Bristol	Bristol	United Kingdom
Garret T. Willie	Sep 17, 2026	Thursday	7:00 PM	w/ Ally Venable Band	The Old Brewery Store	Faversham	United Kingdom
Garret T. Willie	Oct 1, 2026	Thursday	7:00 PM	Pacific Contact Showcase 2026	Pacific Contact Showcase	Nanaimo	BC
Miko Marks	Aug 2, 2026	Sunday		Canmore Folk Festival	Canmore Folk Festival	Canmore	Canada
Miko Marks	Aug 9, 2026	Sunday		Gravenstein Apple Fair	Gravenstein Apple Fair	Sebastopol	CA
Miko Marks	Aug 13, 2026	Thursday		Calistoga Concerts in the Park (Pioneer Park)	Pioneer Park	Calistoga	CA
Miko Marks	Aug 27, 2026	Thursday		Yoshi's	Yoshi's	Oakland	CA
Miko Marks	Aug 28, 2026	Friday		Supporting Duane Betts & Palmetto Motel	Sweetwater Music Hall	Mill Valley	CA
Miko Marks	Aug 29, 2026	Saturday		Supporting Duane Betts & Palmetto Motel	Sweetwater Music Hall	Mill Valley	CA
Miko Marks	Sep 15, 2026	Tuesday		Americana Music Fest (Sep 15-19)	Americana Music Fest	Nashville	TN
Beth Hart	Sep 10, 2026	Thursday		MGM Northfield Park - Center Stage	MGM Northfield Park - Center Stage	Northfield	OH
Beth Hart	Sep 12, 2026	Saturday		Taft Theatre	Taft Theatre	Cincinnati	OH
Beth Hart	Sep 15, 2026	Tuesday		Michigan Theater	Michigan Theater	Ann Arbor	MI
Beth Hart	Sep 17, 2026	Thursday		Brown County Music Center	Brown County Music Center	Nashville	IN
Beth Hart	Sep 19, 2026	Saturday		Riviera Theatre	Riviera Theatre	Chicago	IL
Beth Hart	Sep 22, 2026	Tuesday		The Factory	The Factory	St. Louis	MO
Beth Hart	Sep 24, 2026	Thursday		Orpheum Theater	Orpheum Theater	Madison	WI
Beth Hart	Sep 26, 2026	Saturday		Palace Theatre	Palace Theatre	St. Paul	MN
Beth Hart	Sep 29, 2026	Tuesday		Paramount Theatre	Paramount Theatre	Denver	CO
Beth Hart	Oct 1, 2026	Thursday		Mesa Arts Center	Mesa Arts Center	Mesa	AZ
Beth Hart	Nov 4, 2026	Wednesday		Helsingin Jäähalli	Helsingin Jäähalli	Helsinki	Finland
Beth Hart	Nov 7, 2026	Saturday		B-K	B-K	Stockholm	Sweden
Beth Hart	Nov 9, 2026	Monday		Sentrum Scene	Sentrum Scene	Oslo	Norway
Beth Hart	Nov 11, 2026	Wednesday		Fiskepiren (SOLD OUT)	Fiskepiren (SOLD OUT)	Stavanger	Norway
Beth Hart	Nov 13, 2026	Friday		USF Verftet	USF Verftet	Bergen	Norway
Beth Hart	Nov 16, 2026	Monday		Falkoner Salen	Falkoner Salen	Frederiksberg	Denmark
Beth Hart	Nov 18, 2026	Wednesday		Musikhuset Aarhus	Musikhuset Aarhus	Århus	Denmark
Beth Hart	Nov 21, 2026	Saturday		Kuppelsaal im HCC	Kuppelsaal im HCC	Hannover	Germany
Beth Hart	Nov 23, 2026	Monday		Leverkusener Jazztage	Leverkusener Jazztage	Leverkusen	Germany
Beth Hart	Nov 25, 2026	Wednesday		Lokschuppen Dillingen	Lokschuppen Dillingen	Dillingen/Saar	Germany
Beth Hart	Nov 27, 2026	Friday		Halle Münsterland	Halle Münsterland	Münster	Germany
Beth Hart	Nov 29, 2026	Sunday		L'Olympia	L'Olympia	Paris	France
Beth Hart	Dec 1, 2026	Tuesday		AFAS Live (SOLD OUT)	AFAS Live (SOLD OUT)	Amsterdam	Netherlands
Beth Hart	Dec 4, 2026	Friday		AFAS Live	AFAS Live	Amsterdam	Netherlands
Beth Hart	Jan 7, 2027	Thursday		The Coach House Concert Hall	The Coach House Concert Hall	San Juan Capistrano	CA
Beth Hart	Jan 9, 2027	Saturday		Oxnard Performing Arts Center	Oxnard Performing Arts Center	Oxnard	CA
Beth Hart	Jan 12, 2027	Tuesday		Balboa Theatre	Balboa Theatre	San Diego	CA
Beth Hart	Jan 14, 2027	Thursday		Fremont Theater	Fremont Theater	San Luis Obispo	CA
Beth Hart	Jan 16, 2027	Saturday		Luther Burbank Center for the Arts	Luther Burbank Center for the Arts	Santa Rosa	CA
Beth Hart	Jan 19, 2027	Tuesday		Golden State Theatre	Golden State Theatre	Monterey	CA
Beth Hart	Jan 21, 2027	Thursday		The Uptown Theatre Napa	The Uptown Theatre Napa	Napa	CA
Beth Hart	Jan 23, 2027	Saturday		Bridges Auditorium	Bridges Auditorium	Claremont	CA
Beth Hart	Feb 23, 2027	Tuesday		Kursaal Oostende	Kursaal Oostende	Ostend	Belgium
Beth Hart	Feb 25, 2027	Thursday		Royal Circus	Royal Circus	Brussels	Belgium
Beth Hart	Feb 27, 2027	Saturday		Stadthalle Kassel	Stadthalle Kassel	Kassel	Germany
Beth Hart	Mar 2, 2027	Tuesday		Prague Congress Centre	Prague Congress Centre	Prague	Czechia
Beth Hart	Mar 4, 2027	Thursday		PMC	PMC	Strasbourg	France
Beth Hart	Mar 6, 2027	Saturday		Zénith	Zénith	Caen	France
Beth Hart	Mar 8, 2027	Monday		Le Laps	Le Laps	Nantes	France
Beth Hart	Mar 11, 2027	Thursday		Le Grand Rex	Le Grand Rex	Paris	France
Beth Hart	Mar 13, 2027	Saturday		Maison de la Culture	Maison de la Culture	Clermont-Ferrand	France
Beth Hart	Mar 15, 2027	Monday		L'Arcadium	L'Arcadium	Annecy	France
Beth Hart	Mar 17, 2027	Wednesday		Palais Nikaïa	Palais Nikaïa	Nice	France
Beth Hart	Mar 20, 2027	Saturday		The Hall	The Hall	Zurich	Switzerland
Beth Hart	Mar 22, 2027	Monday		Das Stadtwerk.Donau-Arena	Das Stadtwerk.Donau-Arena	Regensburg	Germany
Beth Hart	Mar 25, 2027	Thursday		Aula Magna (SOLD OUT)	Aula Magna (SOLD OUT)	Lisbon	Portugal
Beth Hart	Jul 23, 2027	Friday		Open Air Blues Festival Brezoi 2027 - Anniversary Edition	Open Air Blues Festival Brezoi 2027 - Anniversary Edition	Brezoi	Romania
Beth Hart	Jul 25, 2027	Sunday		Open Air Blues Festival Brezoi 2027 - Anniversary Edition	Open Air Blues Festival Brezoi 2027 - Anniversary Edition	Brezoi	Romania
Kat Riggins	Aug 8, 2026	Saturday		Kat Riggins & Her Blues Revival	Lizzie Rose Music Room	Tuckerton	NJ
Sugaray Rayford	Aug 4, 2026	Tuesday	6:00 PM	Peter's Players	Peter's Players	Gravenhurst	ON
Sugaray Rayford	Aug 6, 2026	Thursday	7:00 PM	StoneCropAcres Winery and Vineyard	StoneCropAcres Winery and Vineyard	Morrisburg	ON
Sugaray Rayford	Aug 7, 2026	Friday	9:30 PM	Donnacona Blues Festival 2026	Donnacona Blues Festival 2026	Donnacona	QC
Sugaray Rayford	Aug 8, 2026	Saturday	8:00 PM	Parting Glass Live	Parting Glass Live	Saratoga Springs	NY
Sugaray Rayford	Aug 9, 2026	Sunday	12:00 PM	The Brickhouse	The Brickhouse	Scarborough	ME
Sugaray Rayford	Aug 11, 2026	Tuesday	12:00 PM	CHIRP Series	CHIRP Series	Ridgefield	CT
Sugaray Rayford	Aug 12, 2026	Wednesday	7:30 PM	Woodbridge Wednesdays	Woodbridge Wednesdays	Woodbridge Township	NJ
Sugaray Rayford	Aug 13, 2026	Thursday	7:00 PM	Chan's	Chan's	Woonsocket	RI
Sugaray Rayford	Aug 15, 2026	Saturday	7:00 PM	Hudson River Park Blues BBQ Festival 2026	Hudson River Park Blues BBQ Festival 2026	New York	NY
Sugaray Rayford	Sep 10, 2026	Thursday	7:00 PM	Big Blues Bender 2026	Big Blues Bender 2026	Las Vegas	NV
Sugaray Rayford	Sep 17, 2026	Thursday	4:00 PM	Humphreys Backstage Live	Humphreys Backstage Live	San Diego	CA
Sugaray Rayford	Sep 19, 2026	Saturday	8:00 PM	The Eli and Edythe Broad Stage	The Eli and Edythe Broad Stage	Santa Monica	CA
Sugaray Rayford	Oct 2, 2026	Friday	12:00 PM	Blues Heaven Festival 2026	Blues Heaven Festival 2026	Frederikshavn	Denmark
Sugaray Rayford	Oct 3, 2026	Saturday	8:00 PM	Banana Peel	Banana Peel	Ruiselede	Belgium
Sugaray Rayford	Oct 4, 2026	Sunday	8:00 PM	Banana Peel	Banana Peel	Ruiselede	Belgium
Sugaray Rayford	Oct 6, 2026	Tuesday	12:00 PM	L'Écrin	L'Écrin	Talant	France
Sugaray Rayford	Oct 7, 2026	Wednesday	8:00 PM	Handmade Music I Tonstudio	Handmade Music I Tonstudio	Chur	Switzerland
Sugaray Rayford	Oct 10, 2026	Saturday	12:00 PM	Kaunas Blues 2026	Kaunas Blues 2026	Kaunas	Lithuania
Sugaray Rayford	Oct 15, 2026	Thursday	12:00 PM	Color Line cruise to Oslo	Color Line cruise to Oslo	Oslo	Norway
Sugaray Rayford	Oct 17, 2026	Saturday	5:00 PM	Røyken Blues Club	Røyken Blues Club	Oslo	Norway
Sugaray Rayford	Oct 20, 2026	Tuesday	12:00 PM	Fet Church	Fet Church	Fetsund	Norway
Sugaray Rayford	Oct 22, 2026	Thursday	12:00 PM	kulturhuset Longyearbyen	kulturhuset Longyearbyen	Longyearbyen	Svalbard
Sugaray Rayford	Oct 31, 2026	Saturday	7:00 PM	Legendary Rhythm & Blues Cruise 2026 (SOLD OUT)	Legendary Rhythm & Blues Cruise 2026 (SOLD OUT)	San Diego	CA
Sugaray Rayford	Dec 5, 2026	Saturday	6:00 PM	Lakewood Ranch Blues Festival 2026	Lakewood Ranch Blues Festival 2026	Lakewood Ranch	FL
Sugaray Rayford	Dec 6, 2026	Sunday	12:00 PM	Crazy Uncle Mikes	Crazy Uncle Mikes	Boca Raton	FL
Sugaray Rayford	Dec 31, 2026	Thursday	8:00 PM	Biscuits & Blues (early show)	Biscuits & Blues (early show)	San Francisco	CA
Sugaray Rayford	Dec 31, 2026	Thursday	11:00 PM	Biscuits & Blues (late show)	Biscuits & Blues (late show)	San Francisco	CA
Sugaray Rayford	Feb 27, 2027	Saturday	4:00 PM	Vero Beach Blues Festival 2027	Vero Beach Blues Festival 2027	Vero Beach	FL
Grace Bowers	Aug 7, 2026	Friday	6:30 PM	AVL Sounds Fest 2026	AVL Sounds Fest	Asheville	NC
Grace Bowers	Aug 15, 2026	Saturday	3:30 PM	Hoochenanny Whiskey Festival 2026	Hoochenanny Whiskey Festival	Fairport	NY
