Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2021	2021-11-18	Christone 'Kingfish' Ingram	Sixth & I Historic Synagogue	Ally Venable Band	https://www.setlist.fm/search?query=artist%3A%28ally+venable+band%29+date%3A%5B2021-11-18%5D	https://www.setlist.fm/setlist/ally-venable-band/2021/sixth-and-i-historic-synagogue-washington-dc-138a0505.html
2022	2022-09-17	Willie Nelson	Merriweather Post Pavilion	The Avett Brothers	https://www.setlist.fm/search?query=artist%3A%28the+avett+brothers%29+date%3A%5B2022-09-17%5D	https://www.setlist.fm/setlist/the-avett-brothers/2022/merriweather-post-pavilion-columbia-md-3bb000b8.html
2022	2022-09-17	Willie Nelson	Merriweather Post Pavilion	Zach Bryan	https://www.setlist.fm/search?query=artist%3A%28zach+bryan%29+date%3A%5B2022-09-17%5D	https://www.setlist.fm/setlist/zach-bryan/2022/merriweather-post-pavilion-columbia-md-43b0038b.html
2022	2022-09-17	Willie Nelson	Merriweather Post Pavilion	Larkin Poe	https://www.setlist.fm/search?query=artist%3A%28larkin+poe%29+date%3A%5B2022-09-17%5D	https://www.setlist.fm/setlist/larkin-poe/2022/merriweather-post-pavilion-columbia-md-4bb0038a.html
2022	2022-09-17	Willie Nelson	Merriweather Post Pavilion	Brittney Spencer	https://www.setlist.fm/search?query=artist%3A%28brittney+spencer%29+date%3A%5B2022-09-17%5D	https://www.setlist.fm/setlist/brittney-spencer/2022/merriweather-post-pavilion-columbia-md-53b00389.html
2022	2022-10-22	ZZ Top	The Theater at MGM National Harbor	Austin Meade	https://www.setlist.fm/search?query=artist%3A%28austin+meade%29+date%3A%5B2022-10-22%5D	https://www.setlist.fm/setlist/austin-meade/2022/the-theater-at-mgm-national-harbor-national-harbor-md-bbe957e.html
2022	2022-10-24	Violent Femmes	9:30 Club	Alsarah & the Nubatones	https://www.setlist.fm/search?query=artist%3A%28alsarah+%26+the+nubatones%29+date%3A%5B2022-10-24%5D	https://www.setlist.fm/setlist/alsarah-and-the-nubatones/2022/930-club-washington-dc-13bea1a9.html
2022	2022-11-17	Tab Benoit	The State Theatre	The Dirty Dozen Brass Band	https://www.setlist.fm/search?query=artist%3A%28the+dirty+dozen+brass+band%29+date%3A%5B2022-11-17%5D	https://www.setlist.fm/setlist/the-dirty-dozen-brass-band/2022/the-state-theatre-falls-church-va-43bfafe7.html
2022	2022-11-17	Tab Benoit	The State Theatre	Lightnin' Malcolm	https://www.setlist.fm/search?query=artist%3A%28lightnin%27+malcolm%29+date%3A%5B2022-11-17%5D	https://www.setlist.fm/setlist/lightnin-malcolm/2022/the-state-theatre-falls-church-va-3bf814b.html
2022	2022-12-14	Ana Popović	Pearl Street Warehouse	Carly Harvey	https://www.setlist.fm/search?query=artist%3A%28carly+harvey%29+date%3A%5B2022-12-14%5D	https://www.setlist.fm/setlist/carly-harvey/2022/pearl-street-warehouse-washington-dc-2bbc8872.html
2022	2022-12-31	George Clinton & Parliament-Funkadelic	9:30 Club	MonoNeon	https://www.setlist.fm/search?query=artist%3A%28mononeon%29+date%3A%5B2022-12-31%5D	https://www.setlist.fm/setlist/mononeon/2022/930-club-washington-dc-bbc1902.html
2022	2022-12-31	George Clinton & Parliament-Funkadelic	9:30 Club	Blu Eye Extinction	https://www.setlist.fm/search?query=artist%3A%28blu+eye+extinction%29+date%3A%5B2022-12-31%5D	https://www.setlist.fm/setlist/blu-eye-extinction/2022/930-club-washington-dc-13bc1901.html
