Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2025	2025-01-10	The Young Dubliners	Pearl Street Warehouse	La Unica	https://www.setlist.fm/search?query=artist%3A%28la+unica%29+date%3A%5B2025-01-10%5D	
2025	2025-01-22	Langhorne Slim	The Birchmere	Oliver Wood	https://www.setlist.fm/search?query=artist%3A%28oliver+wood%29+date%3A%5B2025-01-22%5D	
2025	2025-01-30	Galactic	9:30 Club	Jah Works	https://www.setlist.fm/search?query=artist%3A%28jah+works%29+date%3A%5B2025-01-30%5D	
2025	2025-02-27	Mike Zito	Hub City Vinyl	Kelli Baker Band	https://www.setlist.fm/search?query=artist%3A%28kelli+baker+band%29+date%3A%5B2025-02-27%5D	
2025	2025-03-19	ZZ Ward	The Birchmere	Liam St. John	https://www.setlist.fm/search?query=artist%3A%28liam+st.+john%29+date%3A%5B2025-03-19%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Eric Johnson	https://www.setlist.fm/search?query=artist%3A%28eric+johnson%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Dylan Triplett	https://www.setlist.fm/search?query=artist%3A%28dylan+triplett%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Christone 'Kingfish' Ingram	https://www.setlist.fm/search?query=artist%3A%28christone+%27kingfish%27+ingram%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Ally Venable Band	https://www.setlist.fm/search?query=artist%3A%28ally+venable+band%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Mato Nanji	https://www.setlist.fm/search?query=artist%3A%28mato+nanji%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Devon Allman	https://www.setlist.fm/search?query=artist%3A%28devon+allman%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Samantha Fish	https://www.setlist.fm/search?query=artist%3A%28samantha+fish%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Zakk Wylde	https://www.setlist.fm/search?query=artist%3A%28zakk+wylde%29+date%3A%5B2025-04-05%5D	
2025	2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	Warner Theatre	Henri Brown	https://www.setlist.fm/search?query=artist%3A%28henri+brown%29+date%3A%5B2025-04-05%5D	
2025	2025-04-11	The War and Treaty	The Howard Theatre	Chelsey Green	https://www.setlist.fm/search?query=artist%3A%28chelsey+green%29+date%3A%5B2025-04-11%5D	
2025	2025-04-11	The War and Treaty	The Howard Theatre	Tiera Kennedy	https://www.setlist.fm/search?query=artist%3A%28tiera+kennedy%29+date%3A%5B2025-04-11%5D	
2025	2025-04-18	Valerie June	Rams Head On Stage	Jon Muq	https://www.setlist.fm/search?query=artist%3A%28jon+muq%29+date%3A%5B2025-04-18%5D	
2025	2025-05-02	Danielle Nicole	Pearl Street Warehouse	Brandon Miller	https://www.setlist.fm/search?query=artist%3A%28brandon+miller%29+date%3A%5B2025-05-02%5D	
2025	2025-05-03	Allison Russell	Lincoln Theatre	Kara Jackson	https://www.setlist.fm/search?query=artist%3A%28kara+jackson%29+date%3A%5B2025-05-03%5D	
2025	2025-05-09	Larkin Poe	9:30 Club	Amythyst Kiah	https://www.setlist.fm/search?query=artist%3A%28amythyst+kiah%29+date%3A%5B2025-05-09%5D	
2025	2025-05-11	The Devil Makes Three	9:30 Club	Bridge City Sinners	https://www.setlist.fm/search?query=artist%3A%28bridge+city+sinners%29+date%3A%5B2025-05-11%5D	
2025	2025-06-08	TajMo: The Taj Mahal & Keb' Mo' Band	Wolf Trap Farm Park (Filene Center)	Abraham Alexander	https://www.setlist.fm/search?query=artist%3A%28abraham+alexander%29+date%3A%5B2025-06-08%5D	
2025	2025-06-13	The Heavy Heavy	The Atlantis	Judy Blank	https://www.setlist.fm/search?query=artist%3A%28judy+blank%29+date%3A%5B2025-06-13%5D	
2025	2025-06-21	Buddy Guy	Wolf Trap Farm Park (Filene Center)	Judith Hill	https://www.setlist.fm/search?query=artist%3A%28judith+hill%29+date%3A%5B2025-06-21%5D	
2025	2025-06-21	Buddy Guy	Wolf Trap Farm Park (Filene Center)	Christone 'Kingfish' Ingram	https://www.setlist.fm/search?query=artist%3A%28christone+%27kingfish%27+ingram%29+date%3A%5B2025-06-21%5D	
2025	2025-07-16	Barenaked Ladies	Wolf Trap Farm Park (Filene Center)	Sugar Ray	https://www.setlist.fm/search?query=artist%3A%28sugar+ray%29+date%3A%5B2025-07-16%5D	
2025	2025-07-16	Barenaked Ladies	Wolf Trap Farm Park (Filene Center)	Fastball	https://www.setlist.fm/search?query=artist%3A%28fastball%29+date%3A%5B2025-07-16%5D	
2025	2025-07-21	Amythyst Kiah	Jammin' Java	The Pinkerton Raid	https://www.setlist.fm/search?query=artist%3A%28the+pinkerton+raid%29+date%3A%5B2025-07-21%5D	
