Date	Day	Time	Artist/Event	Price	Ticket URL
Sep 6, 2026	Sunday	8:00 PM	Concerts For Causes: I Am Your Daddy Band w/ Cymone Lovett & The Dream		
Sep 11, 2026	Friday	8:30 PM	Keith Showtime Busey's 70's Best Show w/ Forever Yours & Steven DJ Fresh		
Sep 12, 2026	Saturday	8:00 PM	DC VS NY Comedy Night		
Sep 16, 2026	Wednesday	8:30 PM	Dominique Fils-Aime		
Sep 18, 2026	Friday	8:30 PM	MYA		
Sep 19, 2026	Saturday	8:00 PM	MYA		
Sep 23, 2026	Wednesday	7:30 PM	The Wealthy Is Better Tour with Dr. Willie Jolley		
Sep 26, 2026	Saturday	8:00 PM	Funkateers Ball 10		
Oct 1, 2026	Thursday	8:30 PM	Twista		
Oct 2, 2026	Friday	8:30 PM	Talib Kweli		
Oct 3, 2026	Saturday	8:00 PM	An Evening With The Beatles		
Oct 9, 2026	Friday	8:30 PM	Hannibal Buress		https://www.ticketmaster.com/event/150064A9E522C5BF
Oct 10, 2026	Saturday	8:00 PM	Atlantic Starr		
Oct 16, 2026	Friday	8:30 PM	Kofi B		
Oct 17, 2026	Saturday	8:00 PM	Chrisette Michele		
Oct 18, 2026	Sunday	7:00 PM	DMV Music & Vogue Gala - Avery Wilson, Top5 ft. Kevin Ross, Black Alley ft. Ms. Kim		
Oct 23, 2026	Friday	8:30 PM	Jane Eugene the First Lady of Loose Ends		
Oct 24, 2026	Saturday	8:00 PM	Lip Sync Karaoke Battle		
Oct 25, 2026	Sunday	7:00 PM	A Tribute to Women of Rock		
Nov 7, 2026	Saturday	8:00 PM	Jon B		
Nov 13, 2026	Friday	8:30 PM	WAR		https://www.ticketmaster.com/war-bethesda-maryland-11-13-2026/event/150064AD0911EC0A
Nov 20, 2026	Friday	8:30 PM	Michael Colyar's Momma - One Man Stage Play		
Nov 28, 2026	Saturday	8:00 PM	The Blackbyrds		
Dec 5, 2026	Saturday	8:00 PM	His Story: The Music of Donny Hathaway		
Dec 6, 2026	Sunday	7:00 PM	Kirk Whalum		
Dec 12, 2026	Saturday	8:00 PM	A Motown Christmas		
