Date	Day	Time	Artist/Event	Price	Ticket URL
Sep 1, 2026	Tuesday		The Cold Stares at Live at Hub City Vinyl		
Sep 3, 2026	Thursday		The Special Consensus - Grammy Nominees & Bluegrass Icons		
Sep 4, 2026	Friday		Soul Project NOLA		
Sep 5, 2026	Saturday		The Furious Bongos - A Tribute to FRANK ZAPPA		
Sep 9, 2026	Wednesday		Johnny Mullenax		
Sep 10, 2026	Thursday		The 4 Queens ft. Vivian Ross		
Sep 11, 2026	Friday		Super 70's Rock Show featuring Super Trans Am		
Sep 12, 2026	Saturday		Zoso - The Ultimate Led Zeppelin Experience		
Sep 17, 2026	Thursday		Davy Knowles ** Guitar Gunslinger and Electrifying Blues **		
Sep 18, 2026	Friday		Doc Marten and The Flannels: 90s Rock/ Grunge		
Sep 19, 2026	Saturday		Nicholas Pare and The Jags - Guitar Driven Hard Rock		
Sep 20, 2026	Sunday		The Boneshakers: Pull Up The Roots (Album Release Show & Signing Event)		
Sep 22, 2026	Tuesday		Reverend Horton Heat w/ Messer Chups		
Sep 23, 2026	Wednesday		Anthony Gomes: Electrifying Blues and Rock		
Sep 24, 2026	Thursday		Carolyn Wonderland		
Sep 25, 2026	Friday		Bearly Dead: Dead & More, Like Never Before!		
Oct 1, 2026	Thursday		An Evening With Black Flag		
Oct 2, 2026	Friday		The Amish Outlaws		
Oct 3, 2026	Saturday		Magical Mystery Girls - An all female Beatles Tribute		
Oct 8, 2026	Thursday		Full Cord: Fresh, High-Energy Bluegrass from MI		
Oct 9, 2026	Friday		The Nashville Nights Band: The Ultimate 90's Country Experience		
Oct 10, 2026	Saturday		Nirvani: A Nirvana Tribute Experience		
Oct 11, 2026	Sunday		Hub City Vinyl Record Show: Records, CDs, Cassettes, Music Memorabilia		
Oct 16, 2026	Friday		Eclipse: A Tribute to Journey		
Oct 17, 2026	Saturday		All Star Purple Party w/ Junie Henderson: A Prince Tribute		
Oct 18, 2026	Sunday		Acoustic Alchemy: Smooth Jazz, Contemporary Jazz and More		
Oct 22, 2026	Thursday		Eric Johanson: New Orleans Blues Rock		
Oct 23, 2026	Friday		LODI: Celebrating The Music of Creedence Clearwater Revival		
Oct 24, 2026	Saturday		Little Lies - A Tribute to Fleetwood Mac		
Oct 25, 2026	Sunday		The Nighthawks with Daryl Davis		
Oct 29, 2026	Thursday		Buckwheat Zydeco Jr. & The Ils Sont Partis Band		
Oct 30, 2026	Friday		Better Off Dead - Deadhead Halloween!		
Nov 5, 2026	Thursday		A Tale of Two: Americana and Blues		
Nov 6, 2026	Friday		Winslow: An Evening of the Eagles		
Nov 7, 2026	Saturday		The Cash Out Show: A Tribute to Johnny Cash		
Nov 13, 2026	Friday		Several Species: The PINK FLOYD Experience - Night 1: Dark Side of The Moon		
Nov 14, 2026	Saturday		Several Species: The PINK FLOYD Experience - Night 2: Animals		
Nov 18, 2026	Wednesday		Miss Emily: Blues, Soul, and Jazz from Canada		
Nov 20, 2026	Friday		The Dave Matthews Tribute Band		
Nov 21, 2026	Saturday		Hudson River Line: The Music of Billy Joel		
Nov 25, 2026	Wednesday		Pressing Strings: High-flyin', Soul-shakin' Indie Soul, Rock and R&B		
Dec 3, 2026	Thursday		Fireside Collective		
Dec 4, 2026	Friday		The Steely Dan Sessions: Aja Featuring The Sidleys w/ The Babylon Horns		
Dec 5, 2026	Saturday		The Music of Neil Young with Fantastic Tribute DANGER BIRD		
Dec 10, 2026	Thursday		The Soul of Christmas: A Soulful Celebration of the Holidays		
Dec 12, 2026	Saturday		Jah Works: Baltimore Reggae, Dancehall, & R&B		
Dec 17, 2026	Thursday		A John Denver Christmas with Chris Collins and Boulder Canyon		
Dec 19, 2026	Saturday		The Plate Scrapers w/ support from Josh Crews and Friends		
Jan 10, 2027	Sunday		Hub City Vinyl Record Show: Records, CDs, Cassettes, Music Memorabilia		
Jan 23, 2027	Saturday		The Wankers: The Best of Britpop and Beyond		
Jan 28, 2027	Thursday		Donna The Buffalo		
Feb 6, 2027	Saturday		Pet Sounds LIVE: The Music of The Beach Boys		
Feb 19, 2027	Friday		Don't Back Down: A Tom Petty Tribute		
Feb 26, 2027	Friday		Old & In The Way-Tribute to Jerry Garcia's Supergroup		
Mar 12, 2027	Friday		The Best of Yacht Rock		
Apr 9, 2027	Friday		Abacab: The Music of Genesis, Phil Collins, and Peter Gabriel		
Apr 25, 2027	Sunday		Hub City Vinyl Record Show: Records, CDs, Cassettes, Music Memorabilia		
