Artist Name	URL	Status
Various Artists/Anthologies	https://www.alligator.com/artists/Various-Artists-Anthologies/	
Gaye Adegbalola	https://www.alligator.com/artists/Gaye-Adegbalola/	
Luther Allison	https://www.alligator.com/artists/Luther-Allison/	deceased 1997
Billy Boy Arnold	https://www.alligator.com/artists/Billy-Boy-Arnold/	deceased 2023
Ronnie Baker Brooks	https://www.alligator.com/artists/Ronnie-Baker-Brooks/	
Marcia Ball	https://www.alligator.com/artists/Marcia-Ball/	retired ca. 2022
Lindsay Beaver	https://www.alligator.com/artists/Lindsay-Beaver/	
Carey Bell	https://www.alligator.com/artists/Carey-Bell/	deceased 2007
Big Twist	https://www.alligator.com/artists/Big-Twist/	deceased 1990
Selwyn Birchwood	https://www.alligator.com/artists/Selwyn-Birchwood/	
Elvin Bishop & Charlie Musselwhite	https://www.alligator.com/artists/Elvin-Bishop-and-Charlie-Musselwhite/	
Elvin Bishop	https://www.alligator.com/artists/Elvin-Bishop/	retired ca. 2023
Billy Branch	https://www.alligator.com/artists/Billy-Branch/	
Big Leon Brooks	https://www.alligator.com/artists/Big-Leon-Brooks/	deceased 1997
Lonnie Brooks	https://www.alligator.com/artists/Lonnie-Brooks/	deceased 2017
Andrew Brown	https://www.alligator.com/artists/Andrew-Brown/	deceased 1996
Charles Brown	https://www.alligator.com/artists/Charles-Brown/	deceased 1999
Clarence 'Gatemouth' Brown	https://www.alligator.com/artists/Clarence-Gatemouth-Brown/	deceased 2005
Nappy Brown	https://www.alligator.com/artists/Nappy-Brown/	deceased 2008
Roy Buchanan	https://www.alligator.com/artists/Roy-Buchanan/	deceased 1988
Buckwheat Zydeco	https://www.alligator.com/artists/Buckwheat-Zydeco/	deceased 2016
Michael Burks	https://www.alligator.com/artists/Michael-Burks/	deceased 2012
Henry Butler	https://www.alligator.com/artists/Henry-Butler/	retired ca. 2019
Chris Cain	https://www.alligator.com/artists/Chris-Cain/	
Toronzo Cannon	https://www.alligator.com/artists/Toronzo-Cannon/	
The Cash Box Kings	https://www.alligator.com/artists/The-Cash-Box-Kings/	
Tommy Castro	https://www.alligator.com/artists/Tommy-Castro/	
Cephas & Wiggins	https://www.alligator.com/artists/Cephas-and-Wiggins/	deceased 2009
C.J. Chenier	https://www.alligator.com/artists/CJ-Chenier/	
Clifton Chenier	https://www.alligator.com/artists/Clifton-Chenier/	deceased 1987
W.C. Clark	https://www.alligator.com/artists/WC-Clark/	
William Clarke	https://www.alligator.com/artists/William-Clarke/	deceased 1996
Eddy Clearwater	https://www.alligator.com/artists/Eddy-Clearwater/	deceased 2018
Michael Coleman	https://www.alligator.com/artists/Michael-Coleman/	
Albert Collins	https://www.alligator.com/artists/Albert-Collins/	deceased 1993
Johnny Copeland	https://www.alligator.com/artists/Johnny-Copeland/	deceased 1997
Shemekia Copeland	https://www.alligator.com/artists/Shemekia-Copeland/	
James Cotton	https://www.alligator.com/artists/James-Cotton/	deceased 2017
Robert Cray	https://www.alligator.com/artists/Robert-Cray/	
Jesse Dee	https://www.alligator.com/artists/Jesse-Dee/	
Detroit Junior	https://www.alligator.com/artists/Detroit-Junior/	deceased 2005
Floyd Dixon	https://www.alligator.com/artists/Floyd-Dixon/	deceased 2006
Willie Dixon	https://www.alligator.com/artists/Willie-Dixon/	deceased 1992
Tinsley Ellis	https://www.alligator.com/artists/Tinsley-Ellis/	
