Artist	Venue	Date	Event URL
Alastair Greene	Capital One Hall	May 05 - 7:30 PM	https://www.bandsintown.com/e/107872540-alastair-greene-at-capital-one-hall
Al Di Meola	Birchmere	May 05 - 7:30 PM	https://www.bandsintown.com/e/1037980048-al-di-meola-at-birchmere
Valerie June	Joseph Meyerhoff Symphony Hall	May 05 - 8:00 PM	https://www.bandsintown.com/e/1038021692-valerie-june-at-joseph-meyerhoff-symphony-hall
Matt Andersen	Rams Head Tavern	May 06 - 7:00 PM	https://www.bandsintown.com/e/107716933-matt-andersen-at-rams-head-tavern
Colin James	Rams Head On Stage	May 06 - 8:00 PM	https://www.bandsintown.com/e/107685616-colin-james-at-rams-head-on-stage
Vanessa Collier	The Collective Encore	May 08 - 7:00 PM	https://www.bandsintown.com/e/1038035463-vanessa-collier-at-the-collective-encore
Trey Songz	The Anthem	May 08 - 8:00 PM	https://www.bandsintown.com/e/1038268828-trey-songz-at-the-anthem
Vanessa Collier	The Collective Encore	May 09 - 7:00 PM	https://www.bandsintown.com/e/1038035321-vanessa-collier-at-the-collective-encore
Al Di Meola	Rams Head On Stage	May 09 - 8:30 PM	https://www.bandsintown.com/e/1038044398-al-di-meola-at-rams-head-on-stage
CMAT	9:30 Club	May 10 - 7:00 PM	https://www.bandsintown.com/e/107549143-cmat-at-9:30-club
Bahamas	Lincoln Theatre	May 10 - 8:00 PM	https://www.bandsintown.com/e/107655869-bahamas-at-lincoln-theatre
Courtney Barnett	Creature of Habit Tour	May 10 - 8:00 PM	https://www.bandsintown.com/e/107823212-courtney-barnett-at-the-anthem
Black Label Society	The Fillmore Silver Spring	May 11 - 7:00 PM	https://www.bandsintown.com/e/107580431-black-label-society-at-the-fillmore-silver-spring
Bill Callahan	Union Stage	May 11 - 8:00 PM	https://www.bandsintown.com/e/1038069969-bill-callahan-at-union-stage
Paul Gilbert	Rams Head On Stage	May 12 - 7:00 PM	https://www.bandsintown.com/e/107802722-paul-gilbert-at-rams-head-on-stage
Greg Koch	support for Paul Gilbert	May 12 - 8:00 PM	https://www.bandsintown.com/e/107811919-greg-koch-at-rams-head-on-stage
Paul Gilbert	Tally Ho Theater	May 13 - 7:00 PM	https://www.bandsintown.com/e/107802724-paul-gilbert-at-tally-ho-theater
Greg Koch	support for Paul Gilbert	May 13 - 8:00 PM	https://www.bandsintown.com/e/107811926-greg-koch-at-tally-ho-theater
The Lone Bellow	Birchmere	May 14 - 7:00 PM	https://www.bandsintown.com/e/108001435-the-lone-bellow-at-birchmere
Iron & Wine	9:30 Club	May 14 - 7:00 PM	https://www.bandsintown.com/e/1037408419-iron-and-wine-at-9:30-club
Cat Clyde	Union Stage	May 14 - 8:00 PM	https://www.bandsintown.com/e/107704539-cat-clyde-at-union-stage
Shayfer James	Pearl Street Warehouse	May 15 - 7:00 PM	https://www.bandsintown.com/e/107884027-shayfer-james-at-pearl-street-warehouse
Kitchen Dwellers	Music City Bluegrass & Roots Festival 2026	May 16 - 12:00 PM	https://www.bandsintown.com/e/107781827-kitchen-dwellers-at-caa-park
The Lone Bellow	Rams Head On Stage	May 16 - 8:00 PM	https://www.bandsintown.com/e/1038116422-the-lone-bellow-at-rams-head-on-stage
Eric Johanson	Jammin Java	May 19 - 7:00 PM	https://www.bandsintown.com/e/108252005-eric-johanson-at-jammin-java
Sting	Filene Center at Wolf Trap	May 21 - 8:00 PM	https://www.bandsintown.com/e/1037029293-sting-at-filene-center-at-wolf-trap
Oh He Dead	Jazz In the Garden	May 22 - 6:00 PM	https://www.bandsintown.com/e/108247746-oh-he-dead-at-national-gallery-of-art-sculpture-garden
Marcus Miller	Birchmere	May 22 - 7:30 PM	https://www.bandsintown.com/e/1036985314-marcus-miller-at-birchmere
Sting	Filene Center at Wolf Trap	May 22 - 8:00 PM	https://www.bandsintown.com/e/107548112-sting-at-filene-center-at-wolf-trap
The Roots	Artscape Festival 2026	May 23 - 7:00 PM	https://www.bandsintown.com/e/108022605-the-roots-at-artscape
Marcus Miller	Birchmere	May 23 - 7:30 PM	https://www.bandsintown.com/e/1036983237-marcus-miller-at-birchmere
Sting	Filene Center at Wolf Trap	May 23 - 8:00 PM	https://www.bandsintown.com/e/1037029242-sting-at-filene-center-at-wolf-trap
