Artist	Venue	Date	Venue URL
Blues Alley Youth Orchestra feat. Terell Stafford - "Birth of the Cool"	Blues Alley	Monday, May 4, 2026	https://wl.seetickets.us/bluesalley
Mietze Conte, Claynation	Pearl Street Warehouse	Monday, May 4, 2026	http://www.pearlstreetwarehouse.com/
John-Robert, nickname Jos	Pie Shop DC	Monday, May 4, 2026	https://www.facebook.com/pg/pieshopdc/events/
Bodied / Dog Food Chain / Gifts Ungiven / Lye Bath / Green Forest	Rhizome DC	Monday, May 4, 2026	http://www.rhizomedc.org/
Gelli Haha – Where In The World Is Gelli Haha Tour, Big Sis	Songbyrd DC	Monday, May 4, 2026	http://www.songbyrddc.com/events/
Live Jazz: Steve Herberman (Guitar) & Mike Cemprola (Saxophone)	Tabard Inn	Monday, May 4, 2026	https://www.tabardinn.com/upcoming_events/
An Evening With PinkPantheress, Cece Natalie	The Anthem	Monday, May 4, 2026	http://www.theanthemdc.com/calendar/
Irish Inn Mates	The Irish Inn	Monday, May 4, 2026	https://irishinnglenecho.com/events/
Nina Lane	Union Stage	Monday, May 4, 2026	https://www.unionstagepresents.com/
Searows - Death in the Business of Whaling, Jordan Patterson	9:30 Club	Tuesday, May 5, 2026	http://www.930.com/#upcoming-shows-container
Terell Stafford - "Miles's Early Years"	Blues Alley	Tuesday, May 5, 2026	https://wl.seetickets.us/bluesalley
George Thorogood & The Destroyers: The Baddest Show on Earth	Capital One Hall	Tuesday, May 5, 2026	
Niko Rubio, DJ Francois Fuqua	DC9	Tuesday, May 5, 2026	https://www.dc9.club/events
DC Mahj Collective	Henceforth DC	Tuesday, May 5, 2026	https://www.henceforthdc.com/events
SPY, Loose Leash, Consumer Culture	Jammin Java	Tuesday, May 5, 2026	http://jamminjava.com
Dethklok & Amon Amarth: The Amonklok Conquest	MGM National Harbor	Tuesday, May 5, 2026	https://www.mgmnationalharbor.com/en/entertainment/the-theater.html#/Entertainment%20Calendar
The Flatliners & A Wilhelm Scream, Signals Midwest	Pearl Street Warehouse	Tuesday, May 5, 2026	http://www.pearlstreetwarehouse.com/
Sun of Goldfinger with Tim Berne, Ches Smith, and David Torn	Rhizome DC	Tuesday, May 5, 2026	http://www.rhizomedc.org/
Vadym Kholodenko, piano	Sixth & I	Tuesday, May 5, 2026	https://www.sixthandi.org/events/category/arts-entertainment/music/list/
The Hip Snacks: Out On A Limb Tour, The District	Songbyrd DC	Tuesday, May 5, 2026	http://www.songbyrddc.com/events/
RetroPop	Starr Hill Tysons	Tuesday, May 5, 2026	https://www.starrhilltysons.com/events
Hatsune Miku Expo 2026 North America	The Anthem	Tuesday, May 5, 2026	http://www.theanthemdc.com/calendar/
Al Di Meola ’The Guitarchitect’ Featuring Electric Band	The Birchmere	Tuesday, May 5, 2026	http://www.birchmere.com/calendar/
Unprocessed, Allt, Midwinter	Union Stage	Tuesday, May 5, 2026	https://www.unionstagepresents.com/
The Paper Kites - If You Go There, I Hope You Find It, Donovan Woods	9:30 Club	Wednesday, May 6, 2026	http://www.930.com/#upcoming-shows-container
