Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2023	2023-01-28	Greensky Bluegrass	The Anthem	Daniel Donato	https://www.setlist.fm/search?query=artist%3A%28daniel+donato%29+date%3A%5B2023-01-28%5D	
2023	2023-03-07	Enter the Haggis	The Hamilton Live	Cassie & Maggie	https://www.setlist.fm/search?query=artist%3A%28cassie+%26+maggie%29+date%3A%5B2023-03-07%5D	
2023	2023-03-09	Larkin Poe	9:30 Club	Tall Heights	https://www.setlist.fm/search?query=artist%3A%28tall+heights%29+date%3A%5B2023-03-09%5D	
2023	2023-05-20	The Wood Brothers	The Anthem	Shovels & Rope	https://www.setlist.fm/search?query=artist%3A%28shovels+%26+rope%29+date%3A%5B2023-05-20%5D	
2023	2023-05-23	The Lone Bellow	The Birchmere	Lindsay Lou	https://www.setlist.fm/search?query=artist%3A%28lindsay+lou%29+date%3A%5B2023-05-23%5D	
2023	2023-05-25	The Avett Brothers	Wolf Trap Farm Park (Filene Center)	Bill Frisell	https://www.setlist.fm/search?query=artist%3A%28bill+frisell%29+date%3A%5B2023-05-25%5D	
2023	2023-06-07	Indigo Girls	Wolf Trap Farm Park (Filene Center)	Larkin Poe	https://www.setlist.fm/search?query=artist%3A%28larkin+poe%29+date%3A%5B2023-06-07%5D	
2023	2023-06-11	Buddy Guy	Wolf Trap Farm Park (Filene Center)	Samantha Fish & Jesse Dayton	https://www.setlist.fm/search?query=artist%3A%28samantha+fish+%26+jesse+dayton%29+date%3A%5B2023-06-11%5D	
2023	2023-06-11	Buddy Guy	Wolf Trap Farm Park (Filene Center)	Robert Randolph & The Family Band	https://www.setlist.fm/search?query=artist%3A%28robert+randolph+%26+the+family+band%29+date%3A%5B2023-06-11%5D	
2023	2023-06-15	Kate Davis	Songbyrd Music House	Mystery Friends	https://www.setlist.fm/search?query=artist%3A%28mystery+friends%29+date%3A%5B2023-06-15%5D	
2023	2023-06-15	Kate Davis	Songbyrd Music House	The House You Grew Up In (THYGUI)	https://www.setlist.fm/search?query=artist%3A%28the+house+you+grew+up+in+%28thygui%29%29+date%3A%5B2023-06-15%5D	
2023	2023-06-18	Trombone Shorty & Orleans Avenue	Wolf Trap Farm Park (Filene Center)	Mavis Staples	https://www.setlist.fm/search?query=artist%3A%28mavis+staples%29+date%3A%5B2023-06-18%5D	
2023	2023-06-18	Trombone Shorty & Orleans Avenue	Wolf Trap Farm Park (Filene Center)	Ziggy Marley	https://www.setlist.fm/search?query=artist%3A%28ziggy+marley%29+date%3A%5B2023-06-18%5D	
2023	2023-06-20	Christone 'Kingfish' Ingram	The 8x10	Yutzi	https://www.setlist.fm/search?query=artist%3A%28yutzi%29+date%3A%5B2023-06-20%5D	
2023	2023-06-22	Steve Miller Band	Wolf Trap Farm Park (Filene Center)	Christone 'Kingfish' Ingram	https://www.setlist.fm/search?query=artist%3A%28christone+%27kingfish%27+ingram%29+date%3A%5B2023-06-22%5D	
2023	2023-07-09	Elvis Costello & The Imposters	Lyric Performing Arts Center	Nick Lowe & Los Straitjackets	https://www.setlist.fm/search?query=artist%3A%28nick+lowe+%26+los+straitjackets%29+date%3A%5B2023-07-09%5D	
2023	2023-07-20	Tab Benoit	The Birchmere	Anthony Rosano and The Conqueroos	https://www.setlist.fm/search?query=artist%3A%28anthony+rosano+and+the+conqueroos%29+date%3A%5B2023-07-20%5D	
2023	2023-07-27	Ana Popović	The Hamilton Live	Skribe	https://www.setlist.fm/search?query=artist%3A%28skribe%29+date%3A%5B2023-07-27%5D	
2023	2023-08-12	Honeyfunk	Pearl Street Warehouse	Zedicus & Abyssinia Roots	https://www.setlist.fm/search?query=artist%3A%28zedicus+%26+abyssinia+roots%29+date%3A%5B2023-08-12%5D	
2023	2023-08-18	Jimmie Vaughan	The State Theatre	King Solomon Hicks	https://www.setlist.fm/search?query=artist%3A%28king+solomon+hicks%29+date%3A%5B2023-08-18%5D	
2023	2023-08-23	Steve Earle	The Birchmere	Danny Burns	https://www.setlist.fm/search?query=artist%3A%28danny+burns%29+date%3A%5B2023-08-23%5D	
2023	2023-09-02	Oh He Dead	9:30 Club	AZTEC SUN	https://www.setlist.fm/search?query=artist%3A%28aztec+sun%29+date%3A%5B2023-09-02%5D	
2023	2023-09-02	Oh He Dead	9:30 Club	Dior Ashley Brown and the Filthy Animals	https://www.setlist.fm/search?query=artist%3A%28dior+ashley+brown+and+the+filthy+animals%29+date%3A%5B2023-09-02%5D	
2023	2023-09-08	ZZ Ward	9:30 Club	Jaime Wyatt	https://www.setlist.fm/search?query=artist%3A%28jaime+wyatt%29+date%3A%5B2023-09-08%5D	
2023	2023-09-09	Kingsley Flood	Pearl Street Warehouse	Glenn Yoder	https://www.setlist.fm/search?query=artist%3A%28glenn+yoder%29+date%3A%5B2023-09-09%5D	
2023	2023-09-10	Beck	Merriweather Post Pavilion	Phoenix	https://www.setlist.fm/search?query=artist%3A%28phoenix%29+date%3A%5B2023-09-10%5D	
2023	2023-09-10	Beck	Merriweather Post Pavilion	Weyes Blood	https://www.setlist.fm/search?query=artist%3A%28weyes+blood%29+date%3A%5B2023-09-10%5D	
2023	2023-09-10	Beck	Merriweather Post Pavilion	Sir Chloe	https://www.setlist.fm/search?query=artist%3A%28sir+chloe%29+date%3A%5B2023-09-10%5D	
2023	2023-09-13	Sonny Landreth	The Hamilton Live	Peter Case	https://www.setlist.fm/search?query=artist%3A%28peter+case%29+date%3A%5B2023-09-13%5D	
2023	2023-09-26	Wu-Tang Clan	Capital One Arena	De La Soul	https://www.setlist.fm/search?query=artist%3A%28de+la+soul%29+date%3A%5B2023-09-26%5D	
2023	2023-09-27	Rhiannon Giddens	The Clarice Smith Performing Arts Center	Adia Victoria	https://www.setlist.fm/search?query=artist%3A%28adia+victoria%29+date%3A%5B2023-09-27%5D	
2023	2023-10-05	Victor Wooten	The Fillmore Silver Spring	Rebirth Brass Band	https://www.setlist.fm/search?query=artist%3A%28rebirth+brass+band%29+date%3A%5B2023-10-05%5D	
2023	2023-10-15	LL Cool J	Capital One Arena	The Roots	https://www.setlist.fm/search?query=artist%3A%28the+roots%29+date%3A%5B2023-10-15%5D	
2023	2023-10-15	LL Cool J	Capital One Arena	DJ Jazzy Jeff	https://www.setlist.fm/search?query=artist%3A%28dj+jazzy+jeff%29+date%3A%5B2023-10-15%5D	
